Book Name,Author,Rating,URL
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_g_1318158031_d_sccl_1/000-0000000-0000000?psc=1
THE LION INSIDE,Rachel Bright,4.7 out of 5 stars,https://www.amazon.in/LION-INSIDE-Rachel-Bright/dp/1408349043/ref=zg_bs_g_1318158031_d_sccl_2/000-0000000-0000000?psc=1
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318158031_d_sccl_3/000-0000000-0000000?psc=1
The Housemaid : An addictive psychological thriller with mind-bending twists,Freida McFadden,4.4 out of 5 stars,https://www.amazon.in/Housemaid-addictive-psychological-thriller-mind-bending/dp/014346115X/ref=zg_bs_g_1318158031_d_sccl_4/000-0000000-0000000?psc=1
The Hidden Hindu Boxset: The Complete Trilogy | Bestselling Sci-fi Novels by Akshat Gupta,Akshat Gupta,4.5 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Boxset-Akshat-Gupta/dp/0143467352/ref=zg_bs_g_1318158031_d_sccl_5/000-0000000-0000000?psc=1
The Stationery Shop of Tehran,Marjan Kamali,4.4 out of 5 stars,https://www.amazon.in/Stationery-Shop-Tehran-Marjan-Kamali/dp/147118501X/ref=zg_bs_g_1318158031_d_sccl_6/000-0000000-0000000?psc=1
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B019PIOJY0/ref=zg_bs_g_1318158031_d_sccl_7/000-0000000-0000000?psc=1
"Samsara: Enter the Valley of the Gods (""India's answer to Harry Potter"") | Mythological fiction novel",Saksham Garg,4.3 out of 5 stars,https://www.amazon.in/Samsara-Valley-Indias-answer-Potter/dp/0143458280/ref=zg_bs_g_1318158031_d_sccl_8/000-0000000-0000000?psc=1
Harry Potter and the Order of the Phoenix,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Order-Phoenix-Rowling-ebook/dp/B019PIOJV8/ref=zg_bs_g_1318158031_d_sccl_9/000-0000000-0000000?psc=1
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.8 out of 5 stars,https://www.amazon.in/Harry-Potter-Prisoner-Azkaban-Rowling-ebook/dp/B019PIOJZ4/ref=zg_bs_g_1318158031_d_sccl_10/000-0000000-0000000?psc=1
Unusual Tales from Indian Mythology Sudha Murty’s bestselling series of Unusual Tales from Indian Mythology| 5 books in 1 boxset,Sudha Murty,4.7 out of 5 stars,https://www.amazon.in/Unusual-Tales-Indian-Mythology-bestselling/dp/0143458000/ref=zg_bs_g_1318158031_d_sccl_11/000-0000000-0000000?psc=1
THE KOALA WHO COULD BOARD BOOK,Rachel Bright,4.7 out of 5 stars,https://www.amazon.in/KOALA-WHO-COULD-BOARD-BOOK/dp/140835148X/ref=zg_bs_g_1318158031_d_sccl_12/000-0000000-0000000?psc=1
