Book Name,Author,Rating,URL
The Golden Road : How Ancient India Transformed the World,Wlliam Dalrymple,4.6 out of 5 stars,https://www.amazon.in/Golden-Road-Ancient-India-Transformed/dp/140886441X/ref=zg_bs_g_1318052031_d_sccl_1/000-0000000-0000000?psc=1
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318052031_d_sccl_2/000-0000000-0000000?psc=1
Mandala Art: Colouring books for Adults with tear out sheets,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=zg_bs_g_1318052031_d_sccl_3/000-0000000-0000000?psc=1
Harper Collins India The Subtle Art Of Not Giving A F*ck A Counterintuitive Approach To Living A Good Life,Mark Manson,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_g_1318052031_d_sccl_4/000-0000000-0000000?psc=1
Mandala: Colouring books for Adults with tear out sheets,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Mandala-Colouring-Books-Adults-Sheets/dp/938653861X/ref=zg_bs_g_1318052031_d_sccl_5/000-0000000-0000000?psc=1
I Came Upon a Lighthouse: A Short Memoir of Life with Ratan Tata,Shantanu Naidu,4.7 out of 5 stars,https://www.amazon.in/CAME-UPON-LIGHTHOUSE-Short-Memoir/dp/935489741X/ref=zg_bs_g_1318052031_d_sccl_6/000-0000000-0000000?psc=1
Indian Art and Culture for UPSC (English) by Nitin Singhania | 5th Edition (Latest) | Civil Services Exam- Prelims and Mains 2025 | State PSCs civil services exams/PCS exams,Nitin Singhania,4.6 out of 5 stars,https://www.amazon.in/Indian-Culture-English-Services-Administrative/dp/9355325924/ref=zg_bs_g_1318052031_d_sccl_7/000-0000000-0000000?psc=1
Colouring Book of Shapes: Creative Crayons Series - Crayon Copy Colour Books,Wonder House Books,4.3 out of 5 stars,https://www.amazon.in/Creative-Crayons-Shapes-Crayon-Colour/dp/9387779750/ref=zg_bs_g_1318052031_d_sccl_8/000-0000000-0000000?psc=1
"SHAH RUKH KHAN : Legend, Icon, Star",Mohar Basu,4.4 out of 5 stars,https://www.amazon.in/SHAH-RUKH-KHAN-Legend-Icon/dp/9365697743/ref=zg_bs_g_1318052031_d_sccl_9/000-0000000-0000000?psc=1
"Nature, Garden and Forest: Colouring books for Adults with tear out sheets",Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Nature-Garden-Forest-Colouring-Adults/dp/938653858X/ref=zg_bs_g_1318052031_d_sccl_10/000-0000000-0000000?psc=1
"Rays Of Ink Motivational Quote Coloring Book for Adults | Ideal for Stress Relieving, Relaxing & Meditation | 120 GSM Thick Paper (ROI - 001)",,4.5 out of 5 stars,https://www.amazon.in/Motivational-Coloring-Relieving-Relaxing-Meditation/dp/B09J1N44Y3/ref=zg_bs_g_1318052031_d_sccl_11/000-0000000-0000000?psc=1
Majestic Animals: Colouring books for Adults with tear out sheets,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Majestic-Animals-Colouring-Adults-Sheets/dp/9386538598/ref=zg_bs_g_1318052031_d_sccl_12/000-0000000-0000000?psc=1
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.4 out of 5 stars,https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_g_1318052031_d_sccl_13/000-0000000-0000000?psc=1
Cityscape- Colouring Book for Adults (Adult Coloring Activity Book),Dreamland Publications,4.4 out of 5 stars,https://www.amazon.in/Cityscape-Adult-Colouring-Peace-Relaxation/dp/9386671964/ref=zg_bs_g_1318052031_d_sccl_14/000-0000000-0000000?psc=1
The Golden Road: How Ancient India Transformed the World,William Dalrymple,4.6 out of 5 stars,https://www.amazon.in/Golden-Road-Ancient-India-Transformed-ebook/dp/B0CWCS47P9/ref=zg_bs_g_1318052031_d_sccl_15/000-0000000-0000000?psc=1
"SHAH RUKH KHAN : Legend, Icon, Star",Mohar Basu,4.4 out of 5 stars,https://www.amazon.in/SHAH-RUKH-KHAN-Legend-Icon/dp/936569812X/ref=zg_bs_g_1318052031_d_sccl_16/000-0000000-0000000?psc=1
THE ARTIST'S WAY,Julia Cameron,4.5 out of 5 stars,https://www.amazon.in/ARTISTS-WAY-Julia-Cameron/dp/1788164296/ref=zg_bs_g_1318052031_d_sccl_17/000-0000000-0000000?psc=1
Black Holes (L) : The Reith Lectures,Stephen Hawking,4.5 out of 5 stars,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X/ref=zg_bs_g_1318052031_d_sccl_18/000-0000000-0000000?psc=1
365 Colouring Book for Kids - Painting and Drawing Book with 368 Big Pictures,Moonstone,4.5 out of 5 stars,https://www.amazon.in/365-Colouring-Book-Kids-Painting/dp/9355205260/ref=zg_bs_g_1318052031_d_sccl_19/000-0000000-0000000?psc=1
Steal Like an Artist,Austin Kleon,4.5 out of 5 stars,https://www.amazon.in/Steal-Like-Artist-Austin-Kleon/dp/0761169253/ref=zg_bs_g_1318052031_d_sccl_20/000-0000000-0000000?psc=1
Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,4.4 out of 5 stars,https://www.amazon.in/Harry-Potter-Cursed-Child-Playscript-ebook/dp/B073P9348D/ref=zg_bs_g_1318052031_d_sccl_21/000-0000000-0000000?psc=1
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,4.5 out of 5 stars,https://www.amazon.in/Silent-Patient-most-anticipated-thriller-ebook/dp/B07G17DR4X/ref=zg_bs_g_1318052031_d_sccl_22/000-0000000-0000000?psc=1
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,4.6 out of 5 stars,https://www.amazon.in/Greenlights-Raucous-stories-Academy-Award-winning/dp/1472280873/ref=zg_bs_g_1318052031_d_sccl_23/000-0000000-0000000?psc=1
The Official Agatha Christie Puzzle Book: Put your detective skills to the ultimate test,Agatha Christie Ltd,4.2 out of 5 stars,https://www.amazon.in/Official-Agatha-Christie-Puzzle-Book/dp/1399627937/ref=zg_bs_g_1318052031_d_sccl_24/000-0000000-0000000?psc=1
ENGLISH LITERATURE,William J. Long,4.5 out of 5 stars,https://www.amazon.in/ENGLISH-LITERATURE-William-J-Long/dp/812913540X/ref=zg_bs_g_1318052031_d_sccl_25/000-0000000-0000000?psc=1
"Raag Parichay Part 1, 2, 3, and 4 (Combo Set of 4 Books)",Pt. Harishchandra Shrivastava,4.5 out of 5 stars,https://www.amazon.in/Raag-parichay-Harish-Chandra-Shrivastava/dp/B00LEANUUC/ref=zg_bs_g_1318052031_d_sccl_26/000-0000000-0000000?psc=1
Devsatya Paperset For Std 12 Commerce ( Gujarati Medium ) | Board Examination,,4.2 out of 5 stars,https://www.amazon.in/Devsatya-Paperset-Commerce-Board-Examination/dp/B07VK848K9/ref=zg_bs_g_1318052031_d_sccl_27/000-0000000-0000000?psc=1
HOOKED,Nir Eyal,4.6 out of 5 stars,https://www.amazon.in/HOOKED-Nir-Eyal/dp/0241184835/ref=zg_bs_g_1318052031_d_sccl_28/000-0000000-0000000?psc=1
Hamlet,William Shakespeare,4.3 out of 5 stars,https://www.amazon.in/Hamlet-William-Shakespeare/dp/8175992921/ref=zg_bs_g_1318052031_d_sccl_29/000-0000000-0000000?psc=1
Good Material,Dolly Alderton,4.1 out of 5 stars,https://www.amazon.in/Good-Material-INSTANT-BESTSELLER-EVERYTHING/dp/0241993164/ref=zg_bs_g_1318052031_d_sccl_30/000-0000000-0000000?psc=1
Autocar India December 2024,Haymarket SAC Publishing,4.5 out of 5 stars,https://www.amazon.in/Autocar-India-Haymarket-SAC-Publishing/dp/B08RZ6THTS/ref=zg_bs_g_1318052031_d_sccl_1/000-0000000-0000000?psc=1
Doodlebook - Doodle Art Patterns Colouring Book for Beginners and Adults,Pamperbug Publication,4.5 out of 5 stars,https://www.amazon.in/Doodlebook-Doodle-Patterns-Colouring-Beginners/dp/B0BD24H69N/ref=zg_bs_g_1318052031_d_sccl_2/000-0000000-0000000?psc=1
How to Build a Car: The Autobiography of the World’s Greatest Formula 1 Designer: The Autobiography of the World’s Greatest Formula 1 Designer,Adrian Newey,4.7 out of 5 stars,https://www.amazon.in/How-Build-Car-Autobiography-Greatest/dp/000819680X/ref=zg_bs_g_1318052031_d_sccl_3/000-0000000-0000000?psc=1
