Book Name,Author,Rating,URL
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda-ebook/dp/B06X1C5Y5H/ref=zg_bs_g_1318064031_d_sccl_1/000-0000000-0000000?psc=1
Strictly Personal: Gursharan and Manmohan,Daman Singh,4.5 out of 5 stars,https://www.amazon.in/Strictly-Personal-Gursharan-Daman-Singh/dp/9352643194/ref=zg_bs_g_1318064031_d_sccl_2/000-0000000-0000000?psc=1
Autobiography of a Yogi (Complete Original Edition),Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Complete-Free-CD/dp/818953551X/ref=zg_bs_g_1318064031_d_sccl_3/000-0000000-0000000?psc=1
Jaun Elia: Ek Ajab Ghazab Shayar - Hindi,Jaun Elia,4.5 out of 5 stars,https://www.amazon.in/Jaun-Elia-Ajab-Ghazab-Shayar/dp/9384419990/ref=zg_bs_g_1318064031_d_sccl_4/000-0000000-0000000?psc=1
Thirteen Months In The Himalayas : Chronicles of a Monk's Sadhana,Om Swami,4.9 out of 5 stars,https://www.amazon.in/Thirteen-Months-Himalayas-Chronicles-Sadhana/dp/9365694884/ref=zg_bs_g_1318064031_d_sccl_5/000-0000000-0000000?psc=1
Man's Search For Meaning: The classic tribute to hope from the Holocaust | Must read classics by Victor E. Frankl,Victor E. Frankl,4.5 out of 5 stars,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_1318064031_d_sccl_6/000-0000000-0000000?psc=1
"Autobiography of a Yogi [Original Edition (Complete), Premium Paperback]",Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8129145367/ref=zg_bs_g_1318064031_d_sccl_7/000-0000000-0000000?psc=1
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,4.6 out of 5 stars,https://www.amazon.in/Tuesdays-Morrie-greatest-lesson-Paperback/dp/0751527378/ref=zg_bs_g_1318064031_d_sccl_8/000-0000000-0000000?psc=1
"Think And Grow Rich [Original Edition (Complete), Premium Paperback]",Napoleon Hill,4.4 out of 5 stars,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/9353338158/ref=zg_bs_g_1318064031_d_sccl_9/000-0000000-0000000?psc=1
Ratan Tata : A Life,Thomas Mathew,4.6 out of 5 stars,https://www.amazon.in/Ratan-Tata-Life-Thomas-Mathew/dp/9356295697/ref=zg_bs_g_1318064031_d_sccl_10/000-0000000-0000000?psc=1
The Wrong Daughter: The totally addictive BRAND NEW psychological thriller by Dandy Smith with a killer twist!,Dandy Smith,4.2 out of 5 stars,https://www.amazon.in/Wrong-Daughter-absolutely-addictive-psychological-ebook/dp/B0CKRHJZ6P/ref=zg_bs_g_1318064031_d_sccl_11/000-0000000-0000000?psc=1
I Came Upon a Lighthouse: A Short Memoir of Life with Ratan Tata,Shantanu Naidu,4.7 out of 5 stars,https://www.amazon.in/CAME-UPON-LIGHTHOUSE-Short-Memoir/dp/935489741X/ref=zg_bs_g_1318064031_d_sccl_12/000-0000000-0000000?psc=1
The Hidden Hindu Boxset: The Complete Trilogy | Bestselling Sci-fi Novels by Akshat Gupta,Akshat Gupta,4.5 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Boxset-Akshat-Gupta/dp/0143467352/ref=zg_bs_g_1318064031_d_sccl_13/000-0000000-0000000?psc=1
Three Thousand Stitches: Ordinary People,Murty Sudha,4.6 out of 5 stars,https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055/ref=zg_bs_g_1318064031_d_sccl_14/000-0000000-0000000?psc=1
Autobiography of a Yogi in Hindi | Yogi Kathamrit | Ek Yogi Ki Atmakatha | Paramahansa Yogananda Hindi | Yogi Book,Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-of-a-Yogi/dp/B09C745BCM/ref=zg_bs_g_1318064031_d_sccl_15/000-0000000-0000000?psc=1
