Book Name,Author,Rating,URL
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_1318068031_d_sccl_1/000-0000000-0000000?psc=1
"Atomic Habits: Tiny Changes, Remarkable Results",James Clear,4.6 out of 5 stars,https://www.amazon.in/Atomic-Habits-Proven-Build-Break/dp/B07J1ZBCZJ/ref=zg_bs_g_1318068031_d_sccl_2/000-0000000-0000000?psc=1
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5 out of 5 stars,https://www.amazon.in/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_g_1318068031_d_sccl_3/000-0000000-0000000?psc=1
The 7 Habits of Highly Effective People: The Infographics Edition,Stephen R Covey,4.5 out of 5 stars,https://www.amazon.in/Habits-Highly-Effective-People-Powerful-ebook/dp/B01069X4H0/ref=zg_bs_g_1318068031_d_sccl_4/000-0000000-0000000?psc=1
Own Your Body,Dr. Shiv K Sarin,4.5 out of 5 stars,https://www.amazon.in/Own-Your-Body-Doctors-Life-Saving/dp/935640030X/ref=zg_bs_g_1318068031_d_sccl_5/000-0000000-0000000?psc=1
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_g_1318068031_d_sccl_6/000-0000000-0000000?psc=1
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,Joseph Murphy,4.5 out of 5 stars,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_1318068031_d_sccl_7/000-0000000-0000000?psc=1
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,4.6 out of 5 stars,https://www.amazon.in/Psychology-Money-Timeless-Lessons-Happiness/dp/B08D9VV926/ref=zg_bs_g_1318068031_d_sccl_8/000-0000000-0000000?psc=1
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.4 out of 5 stars,https://www.amazon.in/How-Talk-Anyone-Success-Relationships/dp/B079TJV5ZP/ref=zg_bs_g_1318068031_d_sccl_9/000-0000000-0000000?psc=1
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.6 out of 5 stars,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_g_1318068031_d_sccl_10/000-0000000-0000000?psc=1
