Book Name,Author,Rating,URL
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_g_64619755031_d_sccl_1/000-0000000-0000000?psc=1
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_64619755031_d_sccl_2/000-0000000-0000000?psc=1
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_64619755031_d_sccl_3/000-0000000-0000000?psc=1
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_g_64619755031_d_sccl_4/000-0000000-0000000?psc=1
Coloring Books Box Set: Pack of 12 Copy Color Books For Children,Wonder House Books,4.4 out of 5 stars,https://www.amazon.in/Colouring-Books-Kids-Colour-Children/dp/9388369785/ref=zg_bs_g_64619755031_d_sccl_5/000-0000000-0000000?psc=1
1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,4.6 out of 5 stars,https://www.amazon.in/Ultimate-Brain-Booster-Activities-Years/dp/8131958248/ref=zg_bs_g_64619755031_d_sccl_6/000-0000000-0000000?psc=1
"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",Maple Press,4.5 out of 5 stars,https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_g_64619755031_d_sccl_7/000-0000000-0000000?psc=1
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,4.3 out of 5 stars,https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_g_64619755031_d_sccl_8/000-0000000-0000000?psc=1
"Story Books for Kids - Second Reader (Illustrated) (Set of 6 Books) - Phonic stories - Bedtime Stories - 3 Years to 6 Years Old - Read Aloud to Infants, Toddlers",Maple Press,4.4 out of 5 stars,https://www.amazon.in/Story-Books-Kids-Illustrated-Toddlers/dp/8119099397/ref=zg_bs_g_64619755031_d_sccl_9/000-0000000-0000000?psc=1
All Time Favourites for Children Classic Collection of 25+ most-loved great stories by famous award-winning author (Illustrated must-read fiction short stories for kids),Ruskin Bond,4.5 out of 5 stars,https://www.amazon.in/All-Time-Favourites-Children-award-winning-Illustrated/dp/0143451936/ref=zg_bs_g_64619755031_d_sccl_10/000-0000000-0000000?psc=1
108 Panchatantra Stories,Vishnu Sharma,4.4 out of 5 stars,https://www.amazon.in/108-Panchatantra-Stories-Vishnu-Sharma-ebook/dp/B08X1BPS7N/ref=zg_bs_g_64619755031_d_sccl_11/000-0000000-0000000?psc=1
1001 Jumbo Brain Booster Activities for 5 to 8 Years Old Kids|Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,Team Pegasus,4.6 out of 5 stars,https://www.amazon.in/Jumbo-Brain-Booster-Activities-Years/dp/813195823X/ref=zg_bs_g_64619755031_d_sccl_12/000-0000000-0000000?psc=1
"Brain Activity Book for Kids - 200+ Activities for Age 3+ - Kids Activity Book - Early Learning - Activities for Children - Maths, English, Mazes, Spot the Differences, Word Search - Activity Book for 5 Year Old",Maple Press,4.4 out of 5 stars,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_g_64619755031_d_sccl_13/000-0000000-0000000?psc=1
Magic of the Lost Temple (Over 2 Lakh Copies sold),Sudha Murty,4.6 out of 5 stars,https://www.amazon.in/Magic-Lost-Temple-Sudha-Murty/dp/014333316X/ref=zg_bs_g_64619755031_d_sccl_14/000-0000000-0000000?psc=1
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Books for Kids - English Short Stories - Read Aloud to Infants, Toddlers",Maple Press,4.4 out of 5 stars,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_g_64619755031_d_sccl_15/000-0000000-0000000?psc=1
