Book Name,Author,Rating,URL
Chanakya,YAGYA SHARMA,4.5 out of 5 stars,https://www.amazon.in/Chanakya-Visionaries-YAGYA-SHARMA-ebook/dp/B01NCX4I0V/ref=zg_bs_g_1318104031_d_sccl_1/000-0000000-0000000?psc=1
Tinkle Double Double Digest No. 01,Thindiath,4.4 out of 5 stars,https://www.amazon.in/Tinkle-Double-Digest-No-01-ebook/dp/B08DR4F4QV/ref=zg_bs_g_1318104031_d_sccl_2/000-0000000-0000000?psc=1
CHACHA CHAUDHARY AND TEMPLE THIEF: CHACHA CHAUDHARY COMICS,PRAN KUMAR SHARMA,4.4 out of 5 stars,https://www.amazon.in/CHACHA-CHAUDHARY-TEMPLE-THIEF-COMICS-ebook/dp/B072SX7PT2/ref=zg_bs_g_1318104031_d_sccl_3/000-0000000-0000000?psc=1
Dashavatar,KAMALA CHANDRAKANT,4.6 out of 5 stars,https://www.amazon.in/Dashavatar-KAMALA-CHANDRAKANT-ebook/dp/B06Y697TL7/ref=zg_bs_g_1318104031_d_sccl_4/000-0000000-0000000?psc=1
Garuda (Amar Chitra Katha),Kamala Chandrakant,4.7 out of 5 stars,https://www.amazon.in/Garuda-KAMALA-CHANDRAKANT-ebook/dp/B06Y6884XC/ref=zg_bs_g_1318104031_d_sccl_5/000-0000000-0000000?psc=1
Attack on Titan Vol. 1,Hajime Isayama,4.6 out of 5 stars,https://www.amazon.in/Attack-Titan-Vol-Hajime-Isayama-ebook/dp/B00CCOO1HA/ref=zg_bs_g_1318104031_d_sccl_6/000-0000000-0000000?psc=1
Suppandi Volume 5: From Hired to Fired,Rajani Thindiath,4.5 out of 5 stars,https://www.amazon.in/Suppandi-Hired-Fired-Rajani-Thindiath-ebook/dp/B07C2X9MMN/ref=zg_bs_g_1318104031_d_sccl_7/000-0000000-0000000?psc=1
Tales of Durga,SUBBA RAO,4.6 out of 5 stars,https://www.amazon.in/Tales-Durga-SUBBA-RAO-ebook/dp/B06Y681DSN/ref=zg_bs_g_1318104031_d_sccl_8/000-0000000-0000000?psc=1
Kalidasa (Amar Chitra Katha),Yagya Sharma,4.6 out of 5 stars,https://www.amazon.in/Kalidasa-Chitra-Katha-Yagya-Sharma-ebook/dp/B06Y61QFBG/ref=zg_bs_g_1318104031_d_sccl_9/000-0000000-0000000?psc=1
Jagannatha of puri,GAYATRI M. DUTT,4.7 out of 5 stars,https://www.amazon.in/Jagannatha-puri-GAYATRI-M-DUTT-ebook/dp/B06VSJ8567/ref=zg_bs_g_1318104031_d_sccl_10/000-0000000-0000000?psc=1
The Adventures of Suppandi : volume 1,Multiple Writers,4.3 out of 5 stars,https://www.amazon.in/Adventures-Suppandi-1-Multiple-Writers-ebook/dp/B0B3T5SP8Q/ref=zg_bs_g_1318104031_d_sccl_11/000-0000000-0000000?psc=1
Karna,KAMALA CHANDRAKANT,4.6 out of 5 stars,https://www.amazon.in/Karna-KAMALA-CHANDRAKANT-ebook/dp/B06Y5YK7XX/ref=zg_bs_g_1318104031_d_sccl_12/000-0000000-0000000?psc=1
Krishna (Amar Chitra Katha),Anant Pai,4.6 out of 5 stars,https://www.amazon.in/Krishna-Epics-Mythology-ANANT-PAI-ebook/dp/B01NBW0HFH/ref=zg_bs_g_1318104031_d_sccl_13/000-0000000-0000000?psc=1
GIRAFFES CAN'T DANCE CASED BOARD BOOK,Guy Parker-Rees,4.6 out of 5 stars,https://www.amazon.in/GIRAFFES-CANT-DANCE-CASED-BOARD/dp/1408354403/ref=zg_bs_g_1318104031_d_sccl_14/000-0000000-0000000?psc=1
The Wimpy Kid Do-It-Yourself Book,Jeff Kinney,4.5 out of 5 stars,https://www.amazon.in/Wimpy-Kid-Do-Yourself-Diary/dp/0141339667/ref=zg_bs_g_1318104031_d_sccl_15/000-0000000-0000000?psc=1
Agastya,KAMALA CHANDRAKANT,4.5 out of 5 stars,https://www.amazon.in/Agastya-KAMALA-CHANDRAKANT-ebook/dp/B06XXYKHW4/ref=zg_bs_g_1318104031_d_sccl_16/000-0000000-0000000?psc=1
SUPPANDI VOL 3 : TINKLE COLLECTION (SUPPANDI : TINKLE COLLECTION),Rajani Thindiath,4.5 out of 5 stars,https://www.amazon.in/SUPPANDI-VOL-TINKLE-COLLECTION-ebook/dp/B076X41BBC/ref=zg_bs_g_1318104031_d_sccl_17/000-0000000-0000000?psc=1
Kadambari,KAMALA CHANDRAKANT,4.1 out of 5 stars,https://www.amazon.in/Kadambari-KAMALA-CHANDRAKANT-ebook/dp/B06XXYYCCW/ref=zg_bs_g_1318104031_d_sccl_18/000-0000000-0000000?psc=1
Shivaji,B R BHAGWAT,4.6 out of 5 stars,https://www.amazon.in/Shivaji-B-R-BHAGWAT-ebook/dp/B01MZB1PC8/ref=zg_bs_g_1318104031_d_sccl_19/000-0000000-0000000?psc=1
Tales of Humour: 5 in 1 (Amar Chitra Katha),Anant pai,4.6 out of 5 stars,https://www.amazon.in/Tales-Humour-Amar-Chitra-Katha-ebook/dp/B08CYY2K14/ref=zg_bs_g_1318104031_d_sccl_20/000-0000000-0000000?psc=1
"Sapiens A Graphic History, Volume 3: The Masters of History",David Casanave,4.6 out of 5 stars,https://www.amazon.in/Sapiens-Graphic-History-SAPIENS-GRAPHIC/dp/191171726X/ref=zg_bs_g_1318104031_d_sccl_21/000-0000000-0000000?psc=1
Stories of Birbal: 5-in-1,Anant Pai,4.7 out of 5 stars,https://www.amazon.in/Stories-Birbal-5-Anant-Pai-ebook/dp/B07CXWH7FV/ref=zg_bs_g_1318104031_d_sccl_22/000-0000000-0000000?psc=1
Prahlad,KAMALA CHANDRAKANT,4.6 out of 5 stars,https://www.amazon.in/Prahlad-KAMALA-CHANDRAKANT-ebook/dp/B06Y69JW9Y/ref=zg_bs_g_1318104031_d_sccl_23/000-0000000-0000000?psc=1
Mahabharata - Illustrated Book For Children (Paperback Edition),Anupa Lal,4.4 out of 5 stars,https://www.amazon.in/Mahabharata-Illustrated-Book-Children-Paperback/dp/935440541X/ref=zg_bs_g_1318104031_d_sccl_24/000-0000000-0000000?psc=1
Tales of Shivaji,SUBBA RAO,4.6 out of 5 stars,https://www.amazon.in/Tales-Shivaji-SUBBA-RAO-ebook/dp/B01N9SYVV6/ref=zg_bs_g_1318104031_d_sccl_25/000-0000000-0000000?psc=1
Bhagawat: Special Issue (Amar Chitra Katha),Anant Pai,4.7 out of 5 stars,https://www.amazon.in/Bhagawat-Krishna-Avatar-Special-Chitra-ebook/dp/B07D3P4DQP/ref=zg_bs_g_1318104031_d_sccl_26/000-0000000-0000000?psc=1
The Sons of Rama,Anant Pai,4.5 out of 5 stars,https://www.amazon.in/Sons-Rama-Anant-Pai-ebook/dp/B06XFH4THJ/ref=zg_bs_g_1318104031_d_sccl_27/000-0000000-0000000?psc=1
(Hindi) Set of 10 Champak Magazines in Hindi,Champak,4.1 out of 5 stars,https://www.amazon.in/Hindi-Set-10-Champak-Magazines/dp/B07RX6KWN7/ref=zg_bs_g_1318104031_d_sccl_28/000-0000000-0000000?psc=1
SHIKARI SHAMBU (VOL -1): TINKLE COLLECTION (SHIKARI SHAMBU : TINKLE COLLECTION),Rajani Thindiath,4.5 out of 5 stars,https://www.amazon.in/SHIKARI-SHAMBU-VOL-1-COLLECTION-ebook/dp/B076WXFV3C/ref=zg_bs_g_1318104031_d_sccl_29/000-0000000-0000000?psc=1
TINKLE DOUBLE DIGEST 3,ANANT PAI,4.5 out of 5 stars,https://www.amazon.in/TINKLE-DOUBLE-DIGEST-ANANT-PAI-ebook/dp/B0758GV64B/ref=zg_bs_g_1318104031_d_sccl_30/000-0000000-0000000?psc=1
