Book Name,Author,Rating,URL
Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,4.5 out of 5 stars,https://www.amazon.in/Nexus-Brief-History-Information-Networks/dp/B0CSYY5CR5/ref=zg_bs_g_1318105031_d_sccl_1/000-0000000-0000000?psc=1
Nexus: FROM THE MULTI-MILLION COPY BESTSELLING AUTHOR OF SAPIENS,Yuval Noah Harari,4.5 out of 5 stars,https://www.amazon.in/Nexus-MULTI-MILLION-BESTSELLING-AUTHOR-SAPIENS/dp/191171709X/ref=zg_bs_g_1318105031_d_sccl_2/000-0000000-0000000?psc=1
"Let's Talk Mutual Funds : Building Wealth in a Smart, Swift Manner",Monika Halan,4.5 out of 5 stars,https://www.amazon.in/Lets-Talk-Mutual-Funds-Systematic/dp/9356991464/ref=zg_bs_g_1318105031_d_sccl_3/000-0000000-0000000?psc=1
Make Epic Money: More than one lakh copies sold by Ankur Warikoo,Ankur Warikoo,4.4 out of 5 stars,https://www.amazon.in/Make-Epic-Money-Ankur-Warikoo/dp/0670099813/ref=zg_bs_g_1318105031_d_sccl_4/000-0000000-0000000?psc=1
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.6 out of 5 stars,https://www.amazon.in/Lets-Talk-Money-Youve-Worked/dp/9352779398/ref=zg_bs_g_1318105031_d_sccl_5/000-0000000-0000000?psc=1
The Coming Wave : The instant Sunday Times bestseller from the ultimate AI insider,Mustafa Suleyman and Michael Bhaskar,4.2 out of 5 stars,https://www.amazon.in/Coming-Wave-Technology-Twenty-First-Centurys/dp/1847927491/ref=zg_bs_g_1318105031_d_sccl_6/000-0000000-0000000?psc=1
The Nvidia Way: Jensen Huang and the Making of a Tech Giant,Tae Kim,4.6 out of 5 stars,https://www.amazon.in/Nvidia-Way-Jensen-Huang-Making/dp/B0DNRPWX5T/ref=zg_bs_g_1318105031_d_sccl_7/000-0000000-0000000?psc=1
The Content Creator Handbook: The Ultimate Guide to Creating Content,Varun Mayya,4.9 out of 5 stars,https://www.amazon.in/Content-Creator-Handbook-Ultimate-Creating/dp/0143465228/ref=zg_bs_g_1318105031_d_sccl_8/000-0000000-0000000?psc=1
How to Win At Chess: The Ultimate Guide for Beginners and Beyond,Levy Rozman,4.7 out of 5 stars,https://www.amazon.in/How-Win-At-Chess-Beginners/dp/0241676738/ref=zg_bs_g_1318105031_d_sccl_9/000-0000000-0000000?psc=1
The Personal MBA : Revised and 10 Anv Ed,KAUFMAN JOSH,4.5 out of 5 stars,https://www.amazon.in/Personal-MBA-World-Class-Business-Education/dp/0670919535/ref=zg_bs_g_1318105031_d_sccl_10/000-0000000-0000000?psc=1
Nexus: The Instant Sunday Times Bestseller from the author of Sapiens,Yuval Noah Harari,4.5 out of 5 stars,https://www.amazon.in/Nexus-MULTI-MILLION-BESTSELLING-AUTHOR-SAPIENS-ebook/dp/B0CS3C3TBX/ref=zg_bs_g_1318105031_d_sccl_11/000-0000000-0000000?psc=1
Nexus: FROM THE MULTI-MILLION COPY BESTSELLING AUTHOR OF SAPIENS,Yuval Noah Harari,4.5 out of 5 stars,https://www.amazon.in/Nexus-MULTI-MILLION-BESTSELLING-AUTHOR-SAPIENS/dp/1911717081/ref=zg_bs_g_1318105031_d_sccl_12/000-0000000-0000000?psc=1
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,4.5 out of 5 stars,https://www.amazon.in/Algorithms-Live-Computer-Science-Decisions/dp/B079P5V4ZF/ref=zg_bs_g_1318105031_d_sccl_13/000-0000000-0000000?psc=1
A Brief History of Intelligence: Why the Evolution of the Brain Holds the Key to the Future of AI,Max Bennett,4.6 out of 5 stars,https://www.amazon.in/Brief-History-Intelligence-Evolution-Future/dp/0008560137/ref=zg_bs_g_1318105031_d_sccl_14/000-0000000-0000000?psc=1
Algorithms to Live By : The Computer Science of Human Decisions,Tom Griffiths Brian Christian,4.5 out of 5 stars,https://www.amazon.in/Algorithms-Live-Computer-Science-Decisions/dp/0007547994/ref=zg_bs_g_1318105031_d_sccl_15/000-0000000-0000000?psc=1
Elon Musk,Walter Isaacson,4.7 out of 5 stars,https://www.amazon.in/Elon-Musk-Walter-Isaacson/dp/1398527491/ref=zg_bs_g_1318105031_d_sccl_16/000-0000000-0000000?psc=1
The Most Important Thing: Uncommon Sense for The Thoughtful Investor,Howard Marks,4.5 out of 5 stars,https://www.amazon.in/Most-Important-Thing-Uncommon-Thoughtful/dp/9353022797/ref=zg_bs_g_1318105031_d_sccl_17/000-0000000-0000000?psc=1
"Black Swan, The : The Impact of the High",Nassim Nicholas Taleb,4.5 out of 5 stars,https://www.amazon.in/Black-Swan-Impact-Highly-Improbable/dp/0141034599/ref=zg_bs_g_1318105031_d_sccl_18/000-0000000-0000000?psc=1
Hands-On Large Language Models: Language Understanding and Generation (Full Colour Edition),Jay Alammar,4.6 out of 5 stars,https://www.amazon.in/Hands-Large-Language-Models-Understanding/dp/935542552X/ref=zg_bs_g_1318105031_d_sccl_19/000-0000000-0000000?psc=1
"Let's Talk Mutual Funds: A Systematic, Smart Way to Make Them Work for You",Monika Halan,4.5 out of 5 stars,https://www.amazon.in/Lets-Talk-Mutual-Funds-Systematic/dp/B0CCSR7S46/ref=zg_bs_g_1318105031_d_sccl_20/000-0000000-0000000?psc=1
"AI Snake Oil: What Artificial Intelligence Can Do, What It Can’t, and How to Tell the Difference",Arvind Narayanan,4.4 out of 5 stars,https://www.amazon.in/Snake-Oil-Artificial-Intelligence-Difference/dp/0691269947/ref=zg_bs_g_1318105031_d_sccl_21/000-0000000-0000000?psc=1
MASTERING THE MARKET CYCLE,Howard Marks,4.4 out of 5 stars,https://www.amazon.in/MASTERING-MARKET-CYCLE-Howard-Marks/dp/1473695686/ref=zg_bs_g_1318105031_d_sccl_22/000-0000000-0000000?psc=1
HOOKED,Nir Eyal,4.6 out of 5 stars,https://www.amazon.in/HOOKED-Nir-Eyal/dp/0241184835/ref=zg_bs_g_1318105031_d_sccl_23/000-0000000-0000000?psc=1
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,4.7 out of 5 stars,https://www.amazon.in/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/B08VKSRFFT/ref=zg_bs_g_1318105031_d_sccl_24/000-0000000-0000000?psc=1
"The Coming Wave: A.I., Power and the Twenty-First Century's Greatest Dilemma",Mustafa Suleyman,4.2 out of 5 stars,https://www.amazon.in/Coming-Wave-I-Twenty-First-Centurys/dp/B0C78JJS4H/ref=zg_bs_g_1318105031_d_sccl_25/000-0000000-0000000?psc=1
CareerCup Cracking The Pm Interview: How To Land A Product Manager Job In Technology,Gayle Laakmann McDowell,4.5 out of 5 stars,https://www.amazon.in/Cracking-PM-Interview-Product-Technology/dp/0984782818/ref=zg_bs_g_1318105031_d_sccl_26/000-0000000-0000000?psc=1
Data Structures and Algorithms Made Easy in Java,Narasimha Karumanchi,4.3 out of 5 stars,https://www.amazon.in/Data-Structures-Algorithms-Made-Easy/dp/8192107558/ref=zg_bs_g_1318105031_d_sccl_27/000-0000000-0000000?psc=1
Lean Startup (L),RIES ERIC,4.5 out of 5 stars,https://www.amazon.in/Lean-Startup-Innovation-Successful-Businesses/dp/0670921602/ref=zg_bs_g_1318105031_d_sccl_28/000-0000000-0000000?psc=1
Supremacy,Parmy Olson,4.5 out of 5 stars,https://www.amazon.in/Supremacy-ChatGPT-Race-Change-World/dp/1035038234/ref=zg_bs_g_1318105031_d_sccl_29/000-0000000-0000000?psc=1
Life 3.0,Max Tegmark,4.4 out of 5 stars,https://www.amazon.in/Life-3-0-Being-Artificial-Intelligence/dp/0141981806/ref=zg_bs_g_1318105031_d_sccl_30/000-0000000-0000000?psc=1
Data Structure and Algorithmic Thinking with Python: Data Structure and Algorithmic Puzzles,Narasimha Karumanchi,4.3 out of 5 stars,https://www.amazon.in/Data-Structure-Algorithmic-Thinking-Python-ebook/dp/B08CKZ6454/ref=zg_bs_g_1318105031_d_sccl_1/000-0000000-0000000?psc=1
Data Structures and Algorithms Made Easy in Java: Data Structure and Algorithmic Puzzles,Narasimha Karumanchi,4.3 out of 5 stars,https://www.amazon.in/Data-Structures-Algorithms-Made-Easy-ebook/dp/B08CMLS7LZ/ref=zg_bs_g_1318105031_d_sccl_2/000-0000000-0000000?psc=1
Diamonds In The Dust: Consistent Compoun,Saurabh Mukherjea,4.4 out of 5 stars,https://www.amazon.in/Diamonds-Dust-Consistent-Compounding-Extraordinary/dp/0670095303/ref=zg_bs_g_1318105031_d_sccl_3/000-0000000-0000000?psc=1
"SUPERINTELLIGENCE: Paths, Dangers, Strategies",Nick Bostrom,4.4 out of 5 stars,https://www.amazon.in/Superintelligence-Dangers-Strategies-Nick-Bostrom/dp/0198739834/ref=zg_bs_g_1318105031_d_sccl_4/000-0000000-0000000?psc=1
The Hundred Page Machine Learning Book,Andriy Burkov,4.4 out of 5 stars,https://www.amazon.in/Hundred-Page-Machine-Learning-Book/dp/B0DDY8L28Y/ref=zg_bs_g_1318105031_d_sccl_5/000-0000000-0000000?psc=1
