Book Name,Author,Rating,URL
Days at the Morisaki Bookshop : The International Bestseller for lovers of Before the Coffee Gets Cold: A charming and uplifting story on the healing power of books,Satoshi Yagisawa,4.3 out of 5 stars,https://www.amazon.in/Days-Morisaki-Bookshop-International-Bestseller/dp/1786583232/ref=zg_bs_g_1318118031_d_sccl_1/000-0000000-0000000?psc=1
Mandala Art: Colouring books for Adults with tear out sheets,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=zg_bs_g_1318118031_d_sccl_2/000-0000000-0000000?psc=1
Harper Collins India The Subtle Art Of Not Giving A F*ck A Counterintuitive Approach To Living A Good Life,Mark Manson,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_g_1318118031_d_sccl_3/000-0000000-0000000?psc=1
Mandala: Colouring books for Adults with tear out sheets,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Mandala-Colouring-Books-Adults-Sheets/dp/938653861X/ref=zg_bs_g_1318118031_d_sccl_4/000-0000000-0000000?psc=1
I Came Upon a Lighthouse: A Short Memoir of Life with Ratan Tata,Shantanu Naidu,4.7 out of 5 stars,https://www.amazon.in/CAME-UPON-LIGHTHOUSE-Short-Memoir/dp/935489741X/ref=zg_bs_g_1318118031_d_sccl_5/000-0000000-0000000?psc=1
Ikigai : Japanese Art of staying Young.. While growing Old,Keira Miki,4.0 out of 5 stars,https://www.amazon.in/Ikigai-Japanese-staying-Young-growing/dp/9355991479/ref=zg_bs_g_1318118031_d_sccl_6/000-0000000-0000000?psc=1
Baby Record Book : Newborn Journal For Boys And Girls To Cherish Memories And Milestones (Ideal Gift For Expecting Parents and Baby Shower),Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Baby-Record-Book-Milestones-Expecting/dp/9389432421/ref=zg_bs_g_1318118031_d_sccl_7/000-0000000-0000000?psc=1
A Man Called Ove,Fredrik Backman,4.6 out of 5 stars,https://www.amazon.in/CALLED-FORMAT-Paperback-Backman-Fredrik/dp/1444775812/ref=zg_bs_g_1318118031_d_sccl_8/000-0000000-0000000?psc=1
101 Copy Coloring: Fun Activity Book For Children,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/101-Copy-Coloring-Activity-Children/dp/9389053137/ref=zg_bs_g_1318118031_d_sccl_9/000-0000000-0000000?psc=1
Relaxing Mandala Coloring Book For Adults,Wonder House Books,4.4 out of 5 stars,https://www.amazon.in/Relaxing-Mandala-Coloring-Book-Adults/dp/9354404863/ref=zg_bs_g_1318118031_d_sccl_10/000-0000000-0000000?psc=1
"PW Zoology Med Easy For NEET and Board Exams 2024-25 | Flowcharts, Schematic Diagrams Samapti Sinha Mahapatra Handwritten Notes",Samapti Sinha Mahapatra,4.6 out of 5 stars,https://www.amazon.in/Flowcharts-Schematic-Diagrams-Mahapatra-Handwritten/dp/9360345067/ref=zg_bs_g_1318118031_d_sccl_11/000-0000000-0000000?psc=1
Orbital: Winner of the Booker Prize 2024,Samantha Harvey,4.1 out of 5 stars,https://www.amazon.in/Orbital-Winner-Booker-Prize-2024/dp/1529922933/ref=zg_bs_g_1318118031_d_sccl_12/000-0000000-0000000?psc=1
