Book Name,Author,Rating,URL
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318161031_d_sccl_1/000-0000000-0000000?psc=1
The Housemaid : An addictive psychological thriller with mind-bending twists,Freida McFadden,4.4 out of 5 stars,https://www.amazon.in/Housemaid-addictive-psychological-thriller-mind-bending/dp/014346115X/ref=zg_bs_g_1318161031_d_sccl_2/000-0000000-0000000?psc=1
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,The Housemaid Freida McFadden,4.3 out of 5 stars,https://www.amazon.in/Never-Lie-Gripping-Thriller-Mind-bending/dp/0143464523/ref=zg_bs_g_1318161031_d_sccl_3/000-0000000-0000000?psc=1
"That Night: Four Friends, Twenty Years, One Haunting Secret",Nidhi Upadhyay,4.3 out of 5 stars,https://www.amazon.in/That-Night-Friends-Haunting-Secret/dp/0143451871/ref=zg_bs_g_1318161031_d_sccl_4/000-0000000-0000000?psc=1
The Wrong Daughter: The totally addictive BRAND NEW psychological thriller by Dandy Smith with a killer twist!,Dandy Smith,4.2 out of 5 stars,https://www.amazon.in/Wrong-Daughter-absolutely-addictive-psychological-ebook/dp/B0CKRHJZ6P/ref=zg_bs_g_1318161031_d_sccl_5/000-0000000-0000000?psc=1
And Then There Were None: The World’s Favourite Agatha Christie Book,Agatha Christie,4.5 out of 5 stars,https://www.amazon.in/Then-There-Were-None/dp/0008123209/ref=zg_bs_g_1318161031_d_sccl_6/000-0000000-0000000?psc=1
The Hidden Hindu Boxset: The Complete Trilogy | Bestselling Sci-fi Novels by Akshat Gupta,Akshat Gupta,4.5 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Boxset-Akshat-Gupta/dp/0143467352/ref=zg_bs_g_1318161031_d_sccl_7/000-0000000-0000000?psc=1
"VERITY [Paperback] Hoover, Colleen",Colleen Hoover,4.3 out of 5 stars,https://www.amazon.in/VERITY-Paperback-Hoover-Colleen/dp/1408726602/ref=zg_bs_g_1318161031_d_sccl_8/000-0000000-0000000?psc=1
"The Vegetarian by Han Kang, Winner of the 2024 Nobel Prize in Literature",Han Kang,3.9 out of 5 stars,https://www.amazon.in/Vegetarian-Han-Kang/dp/1846276039/ref=zg_bs_g_1318161031_d_sccl_9/000-0000000-0000000?psc=1
The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,Freida McFadden,4.4 out of 5 stars,https://www.amazon.in/Housemaid-absolutely-addictive-psychological-jaw-dropping-ebook/dp/B09TWSRMCB/ref=zg_bs_g_1318161031_d_sccl_10/000-0000000-0000000?psc=1
