Book Name,Author,Rating,URL
MTG Objective NCERT at your FINGERTIPS Chemistry - NCERT NEET/JEE Trend Indicator Notes with HD Pages Exam Archive & MCQs | NEET-JEE Books (Based on NCERT Latest Pattern For 2025 Exam) [Paperback] MTG Editorial Board,MTG Editorial Board,4.3 out of 5 stars,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Chemistry/dp/936023723X/ref=zg_bs_g_22960344031_d_sccl_1/000-0000000-0000000?psc=1
"Arihant 15 Practice Sets for JEE Main 2025 | With 1125 Most Probable Questions for Practice, Study Tactics to help Conceptual Learning | CBSE Board | PYQs | Mock Test | Time Saver Tips in Maths, Physics, Chemistry | 24/7 Doubt Solver for Exam 2025 (English)",Pooja Yadav & Anurag Choudhary Rahul Kumar,4.4 out of 5 stars,https://www.amazon.in/Practice-Probable-Questions-Conceptual-Chemistry/dp/9359986488/ref=zg_bs_g_22960344031_d_sccl_2/000-0000000-0000000?psc=1
The Coming Wave : The instant Sunday Times bestseller from the ultimate AI insider,Mustafa Suleyman and Michael Bhaskar,4.2 out of 5 stars,https://www.amazon.in/Coming-Wave-Technology-Twenty-First-Centurys/dp/1847927491/ref=zg_bs_g_22960344031_d_sccl_3/000-0000000-0000000?psc=1
MTG Objective NCERT at your FINGERTIPS Physics - NCERT NEET/JEE Trend Indicator Notes with HD Pages Exam Archive & MCQs | NEET-JEE Books (Based on NCERT Latest Pattern For 2025 Exam) [Paperback] MTG Editorial Board,MTG Editorial Board,4.4 out of 5 stars,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-Physics/dp/9360235571/ref=zg_bs_g_22960344031_d_sccl_4/000-0000000-0000000?psc=1
"Pearson IIT Foundation'24 Mathematics Class 8, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad | Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",Trishna,4.5 out of 5 stars,https://www.amazon.in/Foundation24-Mathematics-Olympiad-Myinsights-Preparation/dp/8119847091/ref=zg_bs_g_22960344031_d_sccl_5/000-0000000-0000000?psc=1
"Pearson IIT Foundation'24 Mathematics Class 9, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad|Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",Trishna,4.4 out of 5 stars,https://www.amazon.in/Foundation24-Mathematics-Olympiad-Myinsights-Preparation/dp/8119847830/ref=zg_bs_g_22960344031_d_sccl_6/000-0000000-0000000?psc=1
"Pearson IIT Foundation'24 Mathematics Class 6, As Per CBSE, ICSE . For JEE | NEET | NSTE | Olympiad|Free access to elibrary, vidoes & Myinsights Self Preparation - 6th Edition By Pearson",Trishna,4.3 out of 5 stars,https://www.amazon.in/Foundation24-Mathematics-Olympiad-Myinsights-Preparation/dp/8119847547/ref=zg_bs_g_22960344031_d_sccl_7/000-0000000-0000000?psc=1
Knowledge Encyclopedia - Space,Wonder House Books,4.6 out of 5 stars,https://www.amazon.in/Knowledge-Encyclopedia-Wonder-House-Books/dp/935440443X/ref=zg_bs_g_22960344031_d_sccl_8/000-0000000-0000000?psc=1
"MTG 19 Years (2024-2006) Karnataka CET Chapterwise Solutions Physics, Chemistry & Mathematics | KCET Previous Year Solved Papers | KCET PYQ Book For Engineering Entrance Exam 2025 [Paperback] MTG Editorial Board",MTG Editorial Board,4.0 out of 5 stars,https://www.amazon.in/2024-2006-Karnataka-Chapterwise-Mathematics-Engineering/dp/9360238236/ref=zg_bs_g_22960344031_d_sccl_9/000-0000000-0000000?psc=1
Arihant Classic Text Series - Problems in General Physics | Complete Syllabus | Summary | Complete Solutions |,IE Irodov,4.4 out of 5 stars,https://www.amazon.in/Problems-General-Physics-IE-Irodov/dp/938812734X/ref=zg_bs_g_22960344031_d_sccl_10/000-0000000-0000000?psc=1
