Book Name,Author,Rating,URL
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=zg_bs_g_1402038031_d_sccl_1/000-0000000-0000000?psc=1
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1402038031_d_sccl_2/000-0000000-0000000?psc=1
Never Lie : A Totally Gripping Thriller with Mind-bending Twists,The Housemaid Freida McFadden,4.3 out of 5 stars,https://www.amazon.in/Never-Lie-Gripping-Thriller-Mind-bending/dp/0143464523/ref=zg_bs_g_1402038031_d_sccl_3/000-0000000-0000000?psc=1
"That Night: Four Friends, Twenty Years, One Haunting Secret",Nidhi Upadhyay,4.3 out of 5 stars,https://www.amazon.in/That-Night-Friends-Haunting-Secret/dp/0143451871/ref=zg_bs_g_1402038031_d_sccl_4/000-0000000-0000000?psc=1
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658/ref=zg_bs_g_1402038031_d_sccl_5/000-0000000-0000000?psc=1
And Then There Were None: The World’s Favourite Agatha Christie Book,Agatha Christie,4.5 out of 5 stars,https://www.amazon.in/Then-There-Were-None/dp/0008123209/ref=zg_bs_g_1402038031_d_sccl_6/000-0000000-0000000?psc=1
The Cruel Prince (The Folk of the Air),Holly Black,4.5 out of 5 stars,https://www.amazon.in/Cruel-Prince-Folk-Air-ebook/dp/B071XQ6H38/ref=zg_bs_g_1402038031_d_sccl_7/000-0000000-0000000?psc=1
Before the Coffee Gets Cold*,Toshikazu Kawaguchi,4.3 out of 5 stars,https://www.amazon.in/Before-Coffee-Gets-Toshikazu-Kawaguchi/dp/1035035057/ref=zg_bs_g_1402038031_d_sccl_8/000-0000000-0000000?psc=1
The Hidden Hindu Boxset: The Complete Trilogy | Bestselling Sci-fi Novels by Akshat Gupta,Akshat Gupta,4.5 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Boxset-Akshat-Gupta/dp/0143467352/ref=zg_bs_g_1402038031_d_sccl_9/000-0000000-0000000?psc=1
"VERITY [Paperback] Hoover, Colleen",Colleen Hoover,4.3 out of 5 stars,https://www.amazon.in/VERITY-Paperback-Hoover-Colleen/dp/1408726602/ref=zg_bs_g_1402038031_d_sccl_10/000-0000000-0000000?psc=1
The Good Girl's Guide to Murder: Book 1 (A Good Girl?s Guide to Murder) (A Good Girl?s Guide to Murder),Holly Jackson,4.6 out of 5 stars,https://www.amazon.in/Good-Girls-Guide-Murder/dp/1405293187/ref=zg_bs_g_1402038031_d_sccl_11/000-0000000-0000000?psc=1
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Chamber-Secrets/dp/1408855666/ref=zg_bs_g_1402038031_d_sccl_12/000-0000000-0000000?psc=1
Ghosts of The Silent Hills: Stories based on true hauntings,Anita Krishan,4.3 out of 5 stars,https://www.amazon.in/Ghosts-Silent-Hills-Stories-hauntings/dp/9389717132/ref=zg_bs_g_1402038031_d_sccl_13/000-0000000-0000000?psc=1
Orbital: Winner of the Booker Prize 2024,Samantha Harvey,4.1 out of 5 stars,https://www.amazon.in/Orbital-Winner-Booker-Prize-2024/dp/1529922933/ref=zg_bs_g_1402038031_d_sccl_14/000-0000000-0000000?psc=1
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B019PIOJY0/ref=zg_bs_g_1402038031_d_sccl_15/000-0000000-0000000?psc=1
"Samsara: Enter the Valley of the Gods (""India's answer to Harry Potter"") | Mythological fiction novel",Saksham Garg,4.3 out of 5 stars,https://www.amazon.in/Samsara-Valley-Indias-answer-Potter/dp/0143458280/ref=zg_bs_g_1402038031_d_sccl_16/000-0000000-0000000?psc=1
Dashavatar,KAMALA CHANDRAKANT,4.6 out of 5 stars,https://www.amazon.in/Dashavatar-KAMALA-CHANDRAKANT-ebook/dp/B06Y697TL7/ref=zg_bs_g_1402038031_d_sccl_17/000-0000000-0000000?psc=1
A Good Girl's Guide to Murder (Box Set of 3 Books),Holly Jackson,4.6 out of 5 stars,https://www.amazon.in/Good-Girls-Guide-Murder-Books/dp/0008534969/ref=zg_bs_g_1402038031_d_sccl_18/000-0000000-0000000?psc=1
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.8 out of 5 stars,https://www.amazon.in/Harry-Potter-Prisoner-Azkaban/dp/1408855674/ref=zg_bs_g_1402038031_d_sccl_19/000-0000000-0000000?psc=1
HARRY POTTER AND THE ORDER OF THE PHOENIX - 5,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/HARRY-POTTER-ORDER-PHOENIX-5/dp/1408855690/ref=zg_bs_g_1402038031_d_sccl_20/000-0000000-0000000?psc=1
Harry Potter and the Order of the Phoenix,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Order-Phoenix-Rowling-ebook/dp/B019PIOJV8/ref=zg_bs_g_1402038031_d_sccl_21/000-0000000-0000000?psc=1
What You Are Looking for is in the Library: The uplifting Japanese fiction bestseller,Michiko Aoyama,4.5 out of 5 stars,https://www.amazon.in/What-You-Are-Looking-Library/dp/0857529129/ref=zg_bs_g_1402038031_d_sccl_22/000-0000000-0000000?psc=1
Crime & Punishment,Fyodor Dostoyevsky,4.5 out of 5 stars,https://www.amazon.in/Punishment-Penguin-Classics-Fyodor-Dostoyevsky/dp/0140449132/ref=zg_bs_g_1402038031_d_sccl_23/000-0000000-0000000?psc=1
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.8 out of 5 stars,https://www.amazon.in/Harry-Potter-Prisoner-Azkaban-Rowling-ebook/dp/B019PIOJZ4/ref=zg_bs_g_1402038031_d_sccl_24/000-0000000-0000000?psc=1
Harry Potter and the Goblet of Fire,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Goblet-Fire/dp/1408855682/ref=zg_bs_g_1402038031_d_sccl_25/000-0000000-0000000?psc=1
Fourth Wing: DISCOVER THE INSTANT SUNDAY TIMES AND NUMBER ONE GLOBAL BESTSELLING PHENOMENON!* (The Empyrean),Rebecca Yarros,4.6 out of 5 stars,https://www.amazon.in/Fourth-Wing-Discover-obsession-Empyrean/dp/0349437017/ref=zg_bs_g_1402038031_d_sccl_26/000-0000000-0000000?psc=1
"Good Girl, Bad Blood - The Sunday Times Bestseller And Seque",Holly Jackson,4.5 out of 5 stars,https://www.amazon.in/Good-Girl-Blood-Holly-Jackson/dp/1405297751/ref=zg_bs_g_1402038031_d_sccl_27/000-0000000-0000000?psc=1
Harry Potter and the Goblet of Fire,J.K. Rowling,4.7 out of 5 stars,https://www.amazon.in/Harry-Potter-Goblet-Fire-Rowling-ebook/dp/B019PIOJWW/ref=zg_bs_g_1402038031_d_sccl_28/000-0000000-0000000?psc=1
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.8 out of 5 stars,https://www.amazon.in/Harry-Potter-Half-Blood-Prince/dp/1408855704/ref=zg_bs_g_1402038031_d_sccl_29/000-0000000-0000000?psc=1
Harry Potter 1–3 Box Set: A Magical Adventure Begins (Set of 3 Books),J.K. Rowling,4.6 out of 5 stars,https://www.amazon.in/Harry-Potter-1-3-Box-Set/dp/1526620294/ref=zg_bs_g_1402038031_d_sccl_30/000-0000000-0000000?psc=1
Harry Potter : The Complete Collection (Set of 7 Books),J.K. Rowling,4.6 out of 5 stars,https://www.amazon.in/Harry-Potter-ChildrenS-Paperback-Boxed/dp/1408856778/ref=zg_bs_g_1402038031_d_sccl_1/000-0000000-0000000?psc=1
The Coming Wave : The instant Sunday Times bestseller from the ultimate AI insider,Mustafa Suleyman and Michael Bhaskar,4.2 out of 5 stars,https://www.amazon.in/Coming-Wave-Technology-Twenty-First-Centurys/dp/1847927491/ref=zg_bs_g_1402038031_d_sccl_2/000-0000000-0000000?psc=1
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.8 out of 5 stars,https://www.amazon.in/Harry-Potter-Half-Blood-Prince-Rowling-ebook/dp/B019PIOJZE/ref=zg_bs_g_1402038031_d_sccl_3/000-0000000-0000000?psc=1
"The Naga Warriors 1: Battle of Gokul Vol 1 | From the bestselling author of Hidden Hindu Trilogy, Akshat Gupta",Akshat Gupta,4.6 out of 5 stars,https://www.amazon.in/Naga-Warriors-Battle-bestselling-Trilogy/dp/0143465937/ref=zg_bs_g_1402038031_d_sccl_4/000-0000000-0000000?psc=1
The Naga Warriors: Battle of Gokul Vol. 1 (Hindi),Akshat Gupta,4.6 out of 5 stars,https://www.amazon.in/Naga-Warriors-Battle-Gokul-Hindi/dp/9355434898/ref=zg_bs_g_1402038031_d_sccl_5/000-0000000-0000000?psc=1
Harry Potter and the Deathly Hallows,J.K. Rowling,4.8 out of 5 stars,https://www.amazon.in/Harry-Potter-Deathly-Hallows-Rowling-ebook/dp/B019PIOJVI/ref=zg_bs_g_1402038031_d_sccl_6/000-0000000-0000000?psc=1
AS GOOD AS DEAD,Holly Jackson,4.5 out of 5 stars,https://www.amazon.in/AS-GOOD-DEAD-Holly-Jackson/dp/140529860X/ref=zg_bs_g_1402038031_d_sccl_7/000-0000000-0000000?psc=1
Anxious People,Fredrik Backman,4.5 out of 5 stars,https://www.amazon.in/Anxious-People-bestseller-author-Called/dp/140593025X/ref=zg_bs_g_1402038031_d_sccl_8/000-0000000-0000000?psc=1
Butter: The Cult new Japanese Bestselling Novel,Asako Yuzuki,3.9 out of 5 stars,https://www.amazon.in/Butter-Cult-Japanese-Bestselling-Novel/dp/0008710635/ref=zg_bs_g_1402038031_d_sccl_9/000-0000000-0000000?psc=1
Suppandi Volume 5: From Hired to Fired,Rajani Thindiath,4.5 out of 5 stars,https://www.amazon.in/Suppandi-Hired-Fired-Rajani-Thindiath-ebook/dp/B07C2X9MMN/ref=zg_bs_g_1402038031_d_sccl_10/000-0000000-0000000?psc=1
Tales of Durga,SUBBA RAO,4.6 out of 5 stars,https://www.amazon.in/Tales-Durga-SUBBA-RAO-ebook/dp/B06Y681DSN/ref=zg_bs_g_1402038031_d_sccl_11/000-0000000-0000000?psc=1
Yellowface,Rebecca F Kuang,3.9 out of 5 stars,https://www.amazon.in/Yellowface-instant-Sunday-bestseller-Witherspoon/dp/0008532818/ref=zg_bs_g_1402038031_d_sccl_12/000-0000000-0000000?psc=1
Project Hail Mary,Andy Weir,4.7 out of 5 stars,https://www.amazon.in/Project-Hail-Mary/dp/B08G9XR74C/ref=zg_bs_g_1402038031_d_sccl_13/000-0000000-0000000?psc=1
The Kalki Trilogy (Set of 3 Books) - Avatar of Vishnu; Eye of Brahma; Sword of Shiva,Kevin Missal,4.5 out of 5 stars,https://www.amazon.in/Kalki-Trilogy-Set-Books-Avatar/dp/9354407331/ref=zg_bs_g_1402038031_d_sccl_14/000-0000000-0000000?psc=1
Normal People,Sally Rooney,4.1 out of 5 stars,https://www.amazon.in/Normal-People-Sally-Rooney/dp/0571334652/ref=zg_bs_g_1402038031_d_sccl_15/000-0000000-0000000?psc=1
Premchand ki Anmol Kahaniya (Hindi),Munshi Premchand,4.4 out of 5 stars,https://www.amazon.in/Premchand-ki-Anmol-Kahaniya-Hindi/dp/9354401260/ref=zg_bs_g_1402038031_d_sccl_16/000-0000000-0000000?psc=1
The God of the Woods,Liz Moore,4.4 out of 5 stars,https://www.amazon.in/God-Woods-Liz-Moore/dp/0008745382/ref=zg_bs_g_1402038031_d_sccl_17/000-0000000-0000000?psc=1
Premchand Ki Shreshth Kahaniyan (Hindi),Munshi Premchand,4.4 out of 5 stars,https://www.amazon.in/Premchand-Ki-Shreshth-Kahaniyan-Hindi/dp/9354404189/ref=zg_bs_g_1402038031_d_sccl_18/000-0000000-0000000?psc=1
Metamorphosis Complete Edition [Franz Kafka Classics],Franz Kafka,4.5 out of 5 stars,https://www.amazon.in/Metamorphosis-Franz-Kafka/dp/9355201060/ref=zg_bs_g_1402038031_d_sccl_19/000-0000000-0000000?psc=1
Percy Jackson and the Last Olympian (Book 5) [Paperback] Rick Riordan,Rick Riordan,4.8 out of 5 stars,https://www.amazon.in/Percy-Jackson-Last-Olympian-Book/dp/0141346884/ref=zg_bs_g_1402038031_d_sccl_20/000-0000000-0000000?psc=1
