Book Name,Author,Rating,URL
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_1318128031_d_sccl_1/000-0000000-0000000?psc=1
"Too Good to Be True : A smart, funny will-they-won’t-they romance",Prajakta Koli,NA,https://www.amazon.in/Too-Good-Be-True-will-they-wont-they/dp/936569339X/ref=zg_bs_g_1318128031_d_sccl_2/000-0000000-0000000?psc=1
Atomic Habits,James Clear,4.6 out of 5 stars,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_1318128031_d_sccl_3/000-0000000-0000000?psc=1
Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,4.4 out of 5 stars,https://www.amazon.in/Dopamine-Detox-Remove-Distractions-Things/dp/8183286011/ref=zg_bs_g_1318128031_d_sccl_4/000-0000000-0000000?psc=1
"Atomic Habits: Tiny Changes, Remarkable Results",James Clear,4.6 out of 5 stars,https://www.amazon.in/Atomic-Habits-Proven-Build-Break/dp/B07J1ZBCZJ/ref=zg_bs_g_1318128031_d_sccl_5/000-0000000-0000000?psc=1
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5 out of 5 stars,https://www.amazon.in/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_g_1318128031_d_sccl_6/000-0000000-0000000?psc=1
The 7 Habits of Highly Effective People: The Infographics Edition,Stephen R Covey,4.5 out of 5 stars,https://www.amazon.in/Habits-Highly-Effective-People-Powerful-ebook/dp/B01069X4H0/ref=zg_bs_g_1318128031_d_sccl_7/000-0000000-0000000?psc=1
Ikigai: Japanese secret to long and happy life,Francesc Miralles,4.6 out of 5 stars,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_g_1318128031_d_sccl_8/000-0000000-0000000?psc=1
The Satvic Revolution: 7 Life-Changing Habits to Discover Peak Health and Joy,Subah Saraf,4.8 out of 5 stars,https://www.amazon.in/Satvic-Revolution-Life-Changing-Habits-Discover/dp/0143460382/ref=zg_bs_g_1318128031_d_sccl_9/000-0000000-0000000?psc=1
Own Your Body,Dr. Shiv K Sarin,4.5 out of 5 stars,https://www.amazon.in/Own-Your-Body-Doctors-Life-Saving/dp/935640030X/ref=zg_bs_g_1318128031_d_sccl_10/000-0000000-0000000?psc=1
50 Things to Realize Before It's too late (Thought Provoking Series Book 1),Manoj Chenthamarakshan,4.4 out of 5 stars,https://www.amazon.in/Things-Realize-Before-Its-late-ebook/dp/B0BTV16YBF/ref=zg_bs_g_1318128031_d_sccl_11/000-0000000-0000000?psc=1
Don't Believe Everything You Think (English),Joseph Nguyen,4.5 out of 5 stars,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_g_1318128031_d_sccl_12/000-0000000-0000000?psc=1
The Power of Your Subconscious Mind: Original Edition | Premium Paperback,Joseph Murphy,4.4 out of 5 stars,https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_g_1318128031_d_sccl_13/000-0000000-0000000?psc=1
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_g_1318128031_d_sccl_14/000-0000000-0000000?psc=1
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery (English),Brianna Wiest,4.3 out of 5 stars,https://www.amazon.in/Mountain-You-Transforming-Self-Sabotage-Self-Mastery/dp/9355434146/ref=zg_bs_g_1318128031_d_sccl_15/000-0000000-0000000?psc=1
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,4.6 out of 5 stars,https://www.amazon.in/Psychology-Money-Timeless-Lessons-Happiness/dp/B08D9VV926/ref=zg_bs_g_1318128031_d_sccl_16/000-0000000-0000000?psc=1
"The Art of Letting Go: Move Beyond the Hurt, Find Emotional Freedom and Restore Your Inner Peace",Nick Trenton,4.4 out of 5 stars,https://www.amazon.in/Art-Letting-Go-Nick-Trenton/dp/0143465066/ref=zg_bs_g_1318128031_d_sccl_17/000-0000000-0000000?psc=1
"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness",Ichiro Kishimi and Fumitake Koga,4.6 out of 5 stars,https://www.amazon.in/Courage-Be-Disliked-yourself-happiness/dp/1760630721/ref=zg_bs_g_1318128031_d_sccl_18/000-0000000-0000000?psc=1
