Book Name,Author,Rating,URL
The Satvic Revolution: 7 Life-Changing Habits to Discover Peak Health and Joy,Subah Saraf,4.8 out of 5 stars,https://www.amazon.in/Satvic-Revolution-Life-Changing-Habits-Discover/dp/0143460382/ref=zg_bs_g_23033693031_d_sccl_1/000-0000000-0000000?psc=1
Own Your Body,Dr. Shiv K Sarin,4.5 out of 5 stars,https://www.amazon.in/Own-Your-Body-Doctors-Life-Saving/dp/935640030X/ref=zg_bs_g_23033693031_d_sccl_2/000-0000000-0000000?psc=1
"30 DAYS: Change your habits, Change your life",Marc Reklau,4.4 out of 5 stars,https://www.amazon.in/30-DAYS-Change-your-habits-ebook/dp/B07T1P4H6R/ref=zg_bs_g_23033693031_d_sccl_3/000-0000000-0000000?psc=1
"The Richest Man In Babylon by George S. Clason [Original Edition (Complete), Premium Paperback]",George S. Clason,4.5 out of 5 stars,https://www.amazon.in/Richest-Babylon-Original-Complete-Paperback/dp/9355200552/ref=zg_bs_g_23033693031_d_sccl_4/000-0000000-0000000?psc=1
Harper Collins India The Subtle Art Of Not Giving A F*ck A Counterintuitive Approach To Living A Good Life,Mark Manson,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_g_23033693031_d_sccl_5/000-0000000-0000000?psc=1
I Want to Die but I Want to Eat Tteokbokki (EPZ),Baek Sehee,4.2 out of 5 stars,https://www.amazon.in/Want-Die-but-Eat-Tteokbokki/dp/1526648091/ref=zg_bs_g_23033693031_d_sccl_6/000-0000000-0000000?psc=1
LIFESPAN,Dr David A. Sinclair,4.5 out of 5 stars,https://www.amazon.in/LIFESPAN-Dr-David-Sinclair/dp/0008380325/ref=zg_bs_g_23033693031_d_sccl_7/000-0000000-0000000?psc=1
But What Does Science Say?: 101 Health Myths Busted,Dr Manan Vora,5.0 out of 5 stars,https://www.amazon.in/But-What-Does-Science-Say/dp/0143466275/ref=zg_bs_g_23033693031_d_sccl_8/000-0000000-0000000?psc=1
Outlive: The Science and Art of Longevity,Peter Attia,4.6 out of 5 stars,https://www.amazon.in/Outlive-Science-Longevity-Peter-Attia/dp/1785044559/ref=zg_bs_g_23033693031_d_sccl_9/000-0000000-0000000?psc=1
THE MIND-GUT CONNECTION,Emeran Mayer,4.4 out of 5 stars,https://www.amazon.in/MIND-GUT-CONNECTION-Emeran-Mayer/dp/0062376586/ref=zg_bs_g_23033693031_d_sccl_10/000-0000000-0000000?psc=1
"The Body Keeps the Score: Mind, Brain and Body in the Transformation of Trauma",Bessel van der Kolk,4.6 out of 5 stars,https://www.amazon.in/Body-Keeps-Score-Bessel-Kolk/dp/0141978619/ref=zg_bs_g_23033693031_d_sccl_11/000-0000000-0000000?psc=1
How will you measure your life?,Clayton Christensen,4.4 out of 5 stars,https://www.amazon.in/How-will-measure-your-life/dp/0008316422/ref=zg_bs_g_23033693031_d_sccl_12/000-0000000-0000000?psc=1
Psychopathology of Everyday Life by Sigmund Freud – A Masterpiece on Parapraxes | Psychoanalysis | Unconscious Mind | Masterful Exploration of Dream Analysis | Symbolic Behavior | Neurosis | Freud's Theories | Psychological Phenomena,Sigmund Freud,4.2 out of 5 stars,https://www.amazon.in/Psychopathology-Everyday-Life-Sigmund-Freud/dp/9354402208/ref=zg_bs_g_23033693031_d_sccl_13/000-0000000-0000000?psc=1
THE GUT (PB),Payal Kothari,4.3 out of 5 stars,https://www.amazon.in/GUT-Story-Incredible-Second-Brain/dp/9390547016/ref=zg_bs_g_23033693031_d_sccl_14/000-0000000-0000000?psc=1
Light On Yoga,B.K.S. Iyengar,4.5 out of 5 stars,https://www.amazon.in/LIGHT-YOGA-B-K-S-Iyengar/dp/8172235011/ref=zg_bs_g_23033693031_d_sccl_15/000-0000000-0000000?psc=1
Death; An Inside Story,Sadhguru,4.7 out of 5 stars,https://www.amazon.in/DEATH-INSIDE-STORY-Sadhguru/dp/0143450832/ref=zg_bs_g_23033693031_d_sccl_16/000-0000000-0000000?psc=1
Make Your Bed,William H. McRaven,4.5 out of 5 stars,https://www.amazon.in/Make-Your-Bed-William-McRaven/dp/0718188861/ref=zg_bs_g_23033693031_d_sccl_17/000-0000000-0000000?psc=1
When Breath Becomes Air,Paul Kalanithi,4.6 out of 5 stars,https://www.amazon.in/When-Breath-Becomes-Paul-Kalanithi/dp/1847923674/ref=zg_bs_g_23033693031_d_sccl_18/000-0000000-0000000?psc=1
SORROW AND BLISS,Meg Mason,4.2 out of 5 stars,https://www.amazon.in/SORROW-AND-BLISS/dp/1474622992/ref=zg_bs_g_23033693031_d_sccl_19/000-0000000-0000000?psc=1
Rabbit -Tortoise Model for Cancer Cure,Dr. Biswaroop Roy Chowdhury,4.0 out of 5 stars,https://www.amazon.in/Rabbit-Tortoise-Model-Cancer-Cure/dp/9356844054/ref=zg_bs_g_23033693031_d_sccl_20/000-0000000-0000000?psc=1
Saans Ke Rahasya: Art of Breathing (Hindi Translation of Secrets of Breath: Unlock the True Potential of Your Body and Mind) Hindi Edition,Rajeev Saxena,4.5 out of 5 stars,https://www.amazon.in/Saans-Ke-Rahasya-Chahein-Paayein/dp/9355212496/ref=zg_bs_g_23033693031_d_sccl_21/000-0000000-0000000?psc=1
imusti Hatha Yoga Pradipika Book,Swami Muktibodhananda,4.7 out of 5 stars,https://www.amazon.in/Hatha-Yoga-Pradipika-Muktibodhananda-Swami/dp/8185787387/ref=zg_bs_g_23033693031_d_sccl_22/000-0000000-0000000?psc=1
Yuktahaar: The Belly And Brain Diet,Munmun Ganeriwal,4.3 out of 5 stars,https://www.amazon.in/Yuktahaar-Belly-Brain-Munmun-Ganeriwal/dp/0143454382/ref=zg_bs_g_23033693031_d_sccl_23/000-0000000-0000000?psc=1
