Book Name,Author,Rating,URL
The Stationery Shop of Tehran,Marjan Kamali,4.4 out of 5 stars,https://www.amazon.in/Stationery-Shop-Tehran-Marjan-Kamali/dp/147118501X/ref=zg_bs_g_1318164031_d_sccl_1/000-0000000-0000000?psc=1
The Forty Rules of Love,Elif Shafak,4.6 out of 5 stars,https://www.amazon.in/Forty-Rules-Love-Elif-Shafak/dp/0241972930/ref=zg_bs_g_1318164031_d_sccl_2/000-0000000-0000000?psc=1
TO KILL A MOCKINGBIRD,Lee,4.5 out of 5 stars,https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484/ref=zg_bs_g_1318164031_d_sccl_3/000-0000000-0000000?psc=1
Arthashastra By Kautilya - A Masterpiece On Economic Policies | Ancient Indian Political Philosophy | Hindu Spiritual Wisdom | Timeless Teachings | Practical Guidance [Paperback],Kautilya,4.4 out of 5 stars,https://www.amazon.in/Arthashastra-Kautilya/dp/9354403700/ref=zg_bs_g_1318164031_d_sccl_4/000-0000000-0000000?psc=1
Godaan (Hindi),Munshi Premchand,4.5 out of 5 stars,https://www.amazon.in/Godaan-Hindi-Munshi-Premchand/dp/9388810473/ref=zg_bs_g_1318164031_d_sccl_5/000-0000000-0000000?psc=1
Kafka on the Shore,Haruki Murakami,4.4 out of 5 stars,https://www.amazon.in/Kafka-Shore-Vintage-Haruki-Murakami/dp/0099458322/ref=zg_bs_g_1318164031_d_sccl_6/000-0000000-0000000?psc=1
Notes From Underground: The Originals Classic by Fyodor Dostoevsky - Unabridged Classics,Fyodor Dostoevsky,4.4 out of 5 stars,https://www.amazon.in/Notes-Underground-Originals-Dostoevsky-Unabridged/dp/9363952002/ref=zg_bs_g_1318164031_d_sccl_7/000-0000000-0000000?psc=1
The Kalki Trilogy (Set of 3 Books) - Avatar of Vishnu; Eye of Brahma; Sword of Shiva,Kevin Missal,4.5 out of 5 stars,https://www.amazon.in/Kalki-Trilogy-Set-Books-Avatar/dp/9354407331/ref=zg_bs_g_1318164031_d_sccl_8/000-0000000-0000000?psc=1
LAST QUEEN,Chitra Banerjee Divakaruni,4.6 out of 5 stars,https://www.amazon.in/LAST-QUEEN-Chitra-Banerjee-Divakaruni/dp/9354894151/ref=zg_bs_g_1318164031_d_sccl_9/000-0000000-0000000?psc=1
Lessons in Chemistry,Garmus Bonnie,4.6 out of 5 stars,https://www.amazon.in/Lessons-Chemistry-Sunday-bestseller-Between/dp/1804990922/ref=zg_bs_g_1318164031_d_sccl_10/000-0000000-0000000?psc=1
கடாரம் கொண்டான் - பாகம் 2 (Tamil Edition),Yaazhini Madhumitha,5.0 out of 5 stars,https://www.amazon.in/%E0%AE%95%E0%AE%9F%E0%AE%BE%E0%AE%B0%E0%AE%AE%E0%AF%8D-%E0%AE%95%E0%AF%8A%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AE%BE%E0%AE%A9%E0%AF%8D-%E0%AE%AA%E0%AE%BE%E0%AE%95%E0%AE%AE%E0%AF%8D-2-Tamil-ebook/dp/B0DRKPJ4S2/ref=zg_bs_g_1318164031_d_sccl_11/000-0000000-0000000?psc=1
Psychopathology of Everyday Life by Sigmund Freud – A Masterpiece on Parapraxes | Psychoanalysis | Unconscious Mind | Masterful Exploration of Dream Analysis | Symbolic Behavior | Neurosis | Freud's Theories | Psychological Phenomena,Sigmund Freud,4.2 out of 5 stars,https://www.amazon.in/Psychopathology-Everyday-Life-Sigmund-Freud/dp/9354402208/ref=zg_bs_g_1318164031_d_sccl_12/000-0000000-0000000?psc=1
The Hidden Hindu 1 (Hidden Hindu Story from our Ancient Indian Mythology) Hindi Translation of Hidden Hindu Part 1,Akshat Gupta,4.5 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Hindi-Translation/dp/9355213794/ref=zg_bs_g_1318164031_d_sccl_13/000-0000000-0000000?psc=1
Wind and Truth: The brand new epic Stormlight Archive novel from the international bestseller,Brandon Sanderson,4.8 out of 5 stars,https://www.amazon.in/Wind-Truth-STORMLIGHT-ARCHIVE-Book-ebook/dp/B0CQ4Z5V36/ref=zg_bs_g_1318164031_d_sccl_14/000-0000000-0000000?psc=1
The Prince (Deluxe Hardbound Edition),Niccolo Machiavelli,4.5 out of 5 stars,https://www.amazon.in/Prince-Deluxe-Hardbound-Niccolo-Machiavelli/dp/9354406688/ref=zg_bs_g_1318164031_d_sccl_15/000-0000000-0000000?psc=1
Breath (Lead Title),Anthony C. Yu,4.6 out of 5 stars,https://www.amazon.in/Breath-New-Science-Lost-Art/dp/0241289122/ref=zg_bs_g_1318164031_d_sccl_16/000-0000000-0000000?psc=1
