Book Name,Author,Rating,URL
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_g_4149493031_d_sccl_1/000-0000000-0000000?psc=1
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda-ebook/dp/B06X1C5Y5H/ref=zg_bs_g_4149493031_d_sccl_2/000-0000000-0000000?psc=1
Strictly Personal: Gursharan and Manmohan,Daman Singh,4.5 out of 5 stars,https://www.amazon.in/Strictly-Personal-Gursharan-Daman-Singh/dp/9352643194/ref=zg_bs_g_4149493031_d_sccl_3/000-0000000-0000000?psc=1
Meditations,Marcus Aurelius,4.3 out of 5 stars,https://www.amazon.in/Meditations-Marcus-Aurelius/dp/8175994754/ref=zg_bs_g_4149493031_d_sccl_4/000-0000000-0000000?psc=1
The Golden Road : How Ancient India Transformed the World,Wlliam Dalrymple,4.6 out of 5 stars,https://www.amazon.in/Golden-Road-Ancient-India-Transformed/dp/140886441X/ref=zg_bs_g_4149493031_d_sccl_5/000-0000000-0000000?psc=1
Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,4.5 out of 5 stars,https://www.amazon.in/Nexus-Brief-History-Information-Networks/dp/B0CSYY5CR5/ref=zg_bs_g_4149493031_d_sccl_6/000-0000000-0000000?psc=1
Jaun Elia: Ek Ajab Ghazab Shayar - Hindi,Jaun Elia,4.5 out of 5 stars,https://www.amazon.in/Jaun-Elia-Ajab-Ghazab-Shayar/dp/9384419990/ref=zg_bs_g_4149493031_d_sccl_7/000-0000000-0000000?psc=1
Thirteen Months In The Himalayas : Chronicles of a Monk's Sadhana,Om Swami,4.9 out of 5 stars,https://www.amazon.in/Thirteen-Months-Himalayas-Chronicles-Sadhana/dp/9365694884/ref=zg_bs_g_4149493031_d_sccl_8/000-0000000-0000000?psc=1
Nexus: FROM THE MULTI-MILLION COPY BESTSELLING AUTHOR OF SAPIENS,Yuval Noah Harari,4.5 out of 5 stars,https://www.amazon.in/Nexus-MULTI-MILLION-BESTSELLING-AUTHOR-SAPIENS/dp/191171709X/ref=zg_bs_g_4149493031_d_sccl_9/000-0000000-0000000?psc=1
Man's Search For Meaning: The classic tribute to hope from the Holocaust | Must read classics by Victor E. Frankl,Victor E. Frankl,4.5 out of 5 stars,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_4149493031_d_sccl_10/000-0000000-0000000?psc=1
"Autobiography of a Yogi [Original Edition (Complete), Premium Paperback]",Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8129145367/ref=zg_bs_g_4149493031_d_sccl_11/000-0000000-0000000?psc=1
Sapiens: A Brief History of Humankind: The multi-million copy bestseller,Yuval Noah Harari,4.7 out of 5 stars,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_g_4149493031_d_sccl_12/000-0000000-0000000?psc=1
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom, Mitch",Mitch Albom,4.6 out of 5 stars,https://www.amazon.in/Tuesdays-Morrie-greatest-lesson-Paperback/dp/0751527378/ref=zg_bs_g_4149493031_d_sccl_13/000-0000000-0000000?psc=1
The Art of War,Sun Tzu,4.3 out of 5 stars,https://www.amazon.in/Art-War-Sun-Tzu-ebook/dp/B01FXQCVFC/ref=zg_bs_g_4149493031_d_sccl_14/000-0000000-0000000?psc=1
Ratan Tata : A Life,Thomas Mathew,4.6 out of 5 stars,https://www.amazon.in/Ratan-Tata-Life-Thomas-Mathew/dp/9356295697/ref=zg_bs_g_4149493031_d_sccl_15/000-0000000-0000000?psc=1
I Came Upon a Lighthouse: A Short Memoir of Life with Ratan Tata,Shantanu Naidu,4.7 out of 5 stars,https://www.amazon.in/CAME-UPON-LIGHTHOUSE-Short-Memoir/dp/935489741X/ref=zg_bs_g_4149493031_d_sccl_16/000-0000000-0000000?psc=1
