Book Name,Author,Rating,URL
Harper Collins India The Subtle Art Of Not Giving A F*ck A Counterintuitive Approach To Living A Good Life,Mark Manson,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_g_1318143031_d_sccl_1/000-0000000-0000000?psc=1
A Man Called Ove,Fredrik Backman,4.6 out of 5 stars,https://www.amazon.in/CALLED-FORMAT-Paperback-Backman-Fredrik/dp/1444775812/ref=zg_bs_g_1318143031_d_sccl_2/000-0000000-0000000?psc=1
The Illustrated Stories of Akbar and Birbal: Classic Tales From India,Wonder House Books,4.6 out of 5 stars,https://www.amazon.in/Illustrated-Stories-Akbar-Birbal-Classic/dp/9389567831/ref=zg_bs_g_1318143031_d_sccl_3/000-0000000-0000000?psc=1
Wise and Otherwise: A salute to Life [Paperback] Sudha Murty [Paperback] Murty Sudha,Murty Sudha,4.6 out of 5 stars,https://www.amazon.in/Wise-Otherwise-salute-Sudha-Murty/dp/0143062220/ref=zg_bs_g_1318143031_d_sccl_4/000-0000000-0000000?psc=1
THE CONCISE 48 LAWS OF POWER,Robert Greene,4.4 out of 5 stars,https://www.amazon.in/CONCISE-48-LAWS-POWER/dp/1861974043/ref=zg_bs_g_1318143031_d_sccl_5/000-0000000-0000000?psc=1
Dashavatar,KAMALA CHANDRAKANT,4.6 out of 5 stars,https://www.amazon.in/Dashavatar-KAMALA-CHANDRAKANT-ebook/dp/B06Y697TL7/ref=zg_bs_g_1318143031_d_sccl_6/000-0000000-0000000?psc=1
Anxious People,Fredrik Backman,4.5 out of 5 stars,https://www.amazon.in/Anxious-People-bestseller-author-Called/dp/140593025X/ref=zg_bs_g_1318143031_d_sccl_7/000-0000000-0000000?psc=1
Suppandi Volume 5: From Hired to Fired,Rajani Thindiath,4.5 out of 5 stars,https://www.amazon.in/Suppandi-Hired-Fired-Rajani-Thindiath-ebook/dp/B07C2X9MMN/ref=zg_bs_g_1318143031_d_sccl_8/000-0000000-0000000?psc=1
Tales of Durga,SUBBA RAO,4.6 out of 5 stars,https://www.amazon.in/Tales-Durga-SUBBA-RAO-ebook/dp/B06Y681DSN/ref=zg_bs_g_1318143031_d_sccl_9/000-0000000-0000000?psc=1
101 Witty Stories of Akbar and Birbal - Collection of Humorous Stories For Kids,Wonder House Books,4.6 out of 5 stars,https://www.amazon.in/101-Witty-Stories-Akbar-Birbal/dp/9390391709/ref=zg_bs_g_1318143031_d_sccl_10/000-0000000-0000000?psc=1
Lallan Sweets: Where Food Leads to Love,Srishti Chaudhary,4.2 out of 5 stars,https://www.amazon.in/Lallan-Sweets-Srishti-Chaudhary/dp/0143450298/ref=zg_bs_g_1318143031_d_sccl_11/000-0000000-0000000?psc=1
The Game of Life and How to Play It,Florence Scovel Shinn,4.5 out of 5 stars,https://www.amazon.in/Game-Life-How-Play/dp/9362141620/ref=zg_bs_g_1318143031_d_sccl_12/000-0000000-0000000?psc=1
Karna,KAMALA CHANDRAKANT,4.6 out of 5 stars,https://www.amazon.in/Karna-KAMALA-CHANDRAKANT-ebook/dp/B06Y5YK7XX/ref=zg_bs_g_1318143031_d_sccl_13/000-0000000-0000000?psc=1
