Book Name,Author,Rating,URL
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_g_1318144031_d_sccl_1/000-0000000-0000000?psc=1
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_g_1318144031_d_sccl_2/000-0000000-0000000?psc=1
"Word Power Made Easy - The No 1 Vocabulary Builder in the English Language | Over 5,00,000 copies sold.",Norman Lewis,4.4 out of 5 stars,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_g_1318144031_d_sccl_3/000-0000000-0000000?psc=1
How to Win Friends and Influence People : Original Edition | Premium Paperback,Dale Carnegie,4.4 out of 5 stars,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_g_1318144031_d_sccl_4/000-0000000-0000000?psc=1
THE CONCISE 48 LAWS OF POWER,Robert Greene,4.4 out of 5 stars,https://www.amazon.in/CONCISE-48-LAWS-POWER/dp/1861974043/ref=zg_bs_g_1318144031_d_sccl_5/000-0000000-0000000?psc=1
"PW Zoology Med Easy For NEET and Board Exams 2024-25 | Flowcharts, Schematic Diagrams Samapti Sinha Mahapatra Handwritten Notes",Samapti Sinha Mahapatra,4.6 out of 5 stars,https://www.amazon.in/Flowcharts-Schematic-Diagrams-Mahapatra-Handwritten/dp/9360345067/ref=zg_bs_g_1318144031_d_sccl_6/000-0000000-0000000?psc=1
NEETU SINGH ENGLISH FOR GENERAL COMPETITIONS VOL - 1 IN ENGLISH NEW 2023 EDITION,NEETU SINGH,4.2 out of 5 stars,https://www.amazon.in/NEETU-SINGH-ENGLISH-GENERAL-COMPETITIONS/dp/B0C7MT7GLB/ref=zg_bs_g_1318144031_d_sccl_7/000-0000000-0000000?psc=1
The Power of A Positive Attitude: Your Road To Success,Roger Fritz,4.4 out of 5 stars,https://www.amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_g_1318144031_d_sccl_8/000-0000000-0000000?psc=1
Everyday Vocabulary More Than 6100 Words,Kumkum Gupta,4.1 out of 5 stars,https://www.amazon.in/Everyday-Vocabulary-More-Than-Words/dp/9350944820/ref=zg_bs_g_1318144031_d_sccl_9/000-0000000-0000000?psc=1
Oxford Pocket English Dictionary - 11th Edition | For Everyday Use | 2 Billion + Words,Oxford Dictionaries,4.5 out of 5 stars,https://www.amazon.in/Pocket-Oxford-English-Dictionary-Dictionaries/dp/0198700989/ref=zg_bs_g_1318144031_d_sccl_10/000-0000000-0000000?psc=1
30 Days to Better English,Norman Lewis,4.1 out of 5 stars,https://www.amazon.in/Days-Better-English-Lewis-Norman/dp/014344798X/ref=zg_bs_g_1318144031_d_sccl_11/000-0000000-0000000?psc=1
