Book Name,Author,Rating,URL
Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4 out of 5 stars,https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_g_4149542031_d_sccl_1/000-0000000-0000000?psc=1
"PROFESSIONAL'S AIBE Exam 25 Bare Acts Set without Notes as per New Syllabus, Complete Set of 25 Books Combo as per Bar Council of India Guidelines covering Latest up to date amendments- covering New Criminal Laws & Full Syllabus Economy Edition",,3.7 out of 5 stars,https://www.amazon.in/PROFESSIONALS-Complete-Guidelines-covering-amendments/dp/B0CJDVNY3L/ref=zg_bs_g_4149542031_d_sccl_2/000-0000000-0000000?psc=1
Taxmann’s New Criminal Laws Combo – Bharatiya Nyaya Sanhita 2023 (BNS) | Bharatiya Nagarik Suraksha Sanhita 2023 (BNSS) | Bharatiya Sakshya Adhiniyam 2023 (BSA) | 3 Books Set,Taxmann,4.4 out of 5 stars,https://www.amazon.in/Taxmanns-New-Criminal-Laws-Combo/dp/B0CQYNHSBX/ref=zg_bs_g_4149542031_d_sccl_3/000-0000000-0000000?psc=1
"Constitution of India Bare Act by Professional's as amended by Constitution (One Hundred & Sixth Amendment) Act, 2023",Professional's,4.5 out of 5 stars,https://www.amazon.in/Constitution-Professionals-amended-Hundred-Amendment/dp/B0CKKD5Z75/ref=zg_bs_g_4149542031_d_sccl_4/000-0000000-0000000?psc=1
The Constitution of India | Dr. B.R. Ambedkar | Original Text | Covered 106th Amendment |,Dr. B.R. Ambedkar,4.2 out of 5 stars,https://www.amazon.in/Constitution-Ambedkar-Original-Covered-Amendment/dp/B0DL75TKH2/ref=zg_bs_g_4149542031_d_sccl_5/000-0000000-0000000?psc=1
"PROFESSIONAL'S New Criminal Laws Criminal Manual containing Bharatiya Nagarik Suraksha Sanhita, 2023(BNSS), Bharatiya Nyaya Sanhita, 2023(BNS), Bharatiya Sakshya Adhiniyam, 2023(BSA) Hard Bound Edn.",,4.4 out of 5 stars,https://www.amazon.in/PROFESSIONALS-Criminal-containing-Bharatiya-Adhiniyam/dp/B0CRWD7KCW/ref=zg_bs_g_4149542031_d_sccl_6/000-0000000-0000000?psc=1
"PROFESSIONAL'S AIBE Exam New Criminal Laws Combo 3 Bare Acts set without Notes, Set of Bharatiya Nagrik Suraksha Sanhita, 2023, Bharatiya Nyaya Sanhita, 2023 & Bharatiya Sakshya Adhiniyam, 2023 with comparitive charts & old section reference below new sections, as per Bar Council of India Guidelines & New Syllabus",,4.5 out of 5 stars,https://www.amazon.in/PROFESSIONALS-Bharatiya-Adhiniyam-comparitive-Guidelines/dp/B0DHQKG7GH/ref=zg_bs_g_4149542031_d_sccl_7/000-0000000-0000000?psc=1
The Constitution of India in Hindi | Bharat ka Samvidhan | Dr. B.R. Ambedkar,Dr. B.R. Ambedkar,5.0 out of 5 stars,https://www.amazon.in/Constitution-India-Bharat-Samvidhan-Ambedkar/dp/B0DLBPX8W3/ref=zg_bs_g_4149542031_d_sccl_8/000-0000000-0000000?psc=1
Taxmann's New Criminal Major Acts (BNS | BNSS | BSA) – Transition to the New Criminal Laws with Comparative Analysis | Section-wise Tables | Section Key | Committee Reports et al.,Taxmann,4.4 out of 5 stars,https://www.amazon.in/Taxmanns-Criminal-Major-Acts-BNSS/dp/9357785612/ref=zg_bs_g_4149542031_d_sccl_9/000-0000000-0000000?psc=1
"Universal Combo of 3 Books New Criminal Lawss BNSA, 2023, Bharatiya Nagarik Suraksha Sanhita, 2023, and the Bharatiya Sakshya Adhiniyam, 2023 With Comparative Charts 2024 Latest Edition|",Universal,4.2 out of 5 stars,https://www.amazon.in/Universal-Criminal-Bharatiya-Adhiniyam-Comparative/dp/B0CR98V8HV/ref=zg_bs_g_4149542031_d_sccl_10/000-0000000-0000000?psc=1
"New Criminal Laws | 4100+ Multiple Choice Questions | Useful for Civil Judge, APO, AIBE, LLM, HJS and other Legal Competitive Exams | BNS | BNSS | BSA | Subject-wise Topic Wise & Comparative Matches of Old & New Criminal Laws | Singhal Law Publications",Jai Shree,5.0 out of 5 stars,https://www.amazon.in/Questions-Competitive-Subject-wise-Comparative-Publications/dp/9393493790/ref=zg_bs_g_4149542031_d_sccl_11/000-0000000-0000000?psc=1
Samarth Agrawal's A Compendium of Multiple Choice Questions on 3 New Criminal Laws (MCQ)Pariksha Manthan,Samarth Agrawal,4.0 out of 5 stars,https://www.amazon.in/Agrawals-Compendium-Multiple-Questions-Criminal/dp/B0D3TKSPJN/ref=zg_bs_g_4149542031_d_sccl_12/000-0000000-0000000?psc=1
"Combo AIBE NEW CRIMINAL LAWS ( BNS, BNSS & BSA ) 3 Books set without Notes",Commercial's,4.1 out of 5 stars,https://www.amazon.in/Combo-CRIMINAL-Books-without-Notes/dp/935603916X/ref=zg_bs_g_4149542031_d_sccl_13/000-0000000-0000000?psc=1
"Taxmann X NISM's Equity Derivatives – Insights into strategies, risk management & regulatory norms | Elucidates derivative products, trading mechanisms & investor protection practices",NISM (An Educational Initiative of SEBI),4.5 out of 5 stars,https://www.amazon.in/Taxmann-NISMs-Equity-Derivatives-strategies/dp/9357782257/ref=zg_bs_g_4149542031_d_sccl_14/000-0000000-0000000?psc=1
Lawmann's AIBE Solved Papers | Answer Keys with Explanations | 17 Previous Year Papers (2011—2023) | Edition 2025,Mahima Khurana,4.1 out of 5 stars,https://www.amazon.in/Lawmanns-Solved-Explanations-Previous-2011-2023/dp/939229591X/ref=zg_bs_g_4149542031_d_sccl_15/000-0000000-0000000?psc=1
Who Is Equal: The Equality Code of the Constitution,Saurabh Kirpal,4.8 out of 5 stars,https://www.amazon.in/Who-Equal-Equality-Code-Constitution/dp/0670100145/ref=zg_bs_g_4149542031_d_sccl_16/000-0000000-0000000?psc=1
The Constitution of India (Coat Pocket Edition) - 2023 Edition - EBC,,4.4 out of 5 stars,https://www.amazon.in/Constitution-India-Coat-Pocket-2023/dp/9394364684/ref=zg_bs_g_4149542031_d_sccl_17/000-0000000-0000000?psc=1
"Case That Shook India, The (PB): The Verdict That Led to the Emergency",Prashant Bhushan,4.4 out of 5 stars,https://www.amazon.in/Case-That-Shook-India-Emergency/dp/0143442643/ref=zg_bs_g_4149542031_d_sccl_18/000-0000000-0000000?psc=1
"Professional'S Bharatiya Nagarik Suraksha Sanhita, 2023 (Bnss) Repealing Criminal Procedure Code, 1973 (Crpc) With Corresponding Sections, Comparative Tables Of Old And New Sections",,4.6 out of 5 stars,https://www.amazon.in/ProfessionalS-Bharatiya-Repealing-Corresponding-Comparative/dp/B0CRQW5ZRV/ref=zg_bs_g_4149542031_d_sccl_19/000-0000000-0000000?psc=1
Super Capsule Guide for LDCE Exams Group B Railways Transportation and Commercial,Ranbir Singh,3.5 out of 5 stars,https://www.amazon.in/Super-Capsule-Railways-Transportation-Commercial/dp/8195527515/ref=zg_bs_g_4149542031_d_sccl_20/000-0000000-0000000?psc=1
