Book Name,Author,Rating,URL
LIFESPAN,Dr David A. Sinclair,4.5 out of 5 stars,https://www.amazon.in/LIFESPAN-Dr-David-Sinclair/dp/0008380325/ref=zg_bs_g_4149549031_d_sccl_1/000-0000000-0000000?psc=1
"Energize Your Mind: Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,4.6 out of 5 stars,https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_g_4149549031_d_sccl_2/000-0000000-0000000?psc=1
Diary of a Wimpy Kid: No Brainer (Book 18),Jeff Kinney,4.6 out of 5 stars,https://www.amazon.in/Diary-Wimpy-Kid-Brainer-Book/dp/0241583136/ref=zg_bs_g_4149549031_d_sccl_3/000-0000000-0000000?psc=1
Target High 7/e Premium Edition with AddON Booklet FREE - One Nation NORCET Book on Nursing Officer / Staff Nurse Recruitment Exams Coloured Phygital,MUTHUVENKATACHALAM S.,4.1 out of 5 stars,https://www.amazon.in/Target-High-Premium-AddON-Booklet/dp/9394525203/ref=zg_bs_g_4149549031_d_sccl_4/000-0000000-0000000?psc=1
First Aid for the USMLE Step 1 2024: A Student-to-Student Guide,"M.D. Le, Tao",4.4 out of 5 stars,https://www.amazon.in/First-USMLE-Step-Student-Student/dp/1266077200/ref=zg_bs_g_4149549031_d_sccl_5/000-0000000-0000000?psc=1
THE GUT (PB),Payal Kothari,4.3 out of 5 stars,https://www.amazon.in/GUT-Story-Incredible-Second-Brain/dp/9390547016/ref=zg_bs_g_4149549031_d_sccl_6/000-0000000-0000000?psc=1
"Behave: The bestselling exploration of why humans behave as they do [Paperback] Sapolsky, Robert M",Robert M Sapolsky,4.5 out of 5 stars,https://www.amazon.in/Behave-Biology-Humans-Best-Worst/dp/009957506X/ref=zg_bs_g_4149549031_d_sccl_7/000-0000000-0000000?psc=1
A Brief History of Intelligence: Why the Evolution of the Brain Holds the Key to the Future of AI,Max Bennett,4.6 out of 5 stars,https://www.amazon.in/Brief-History-Intelligence-Evolution-Future/dp/0008560137/ref=zg_bs_g_4149549031_d_sccl_8/000-0000000-0000000?psc=1
"Pharmacology for Medical Graduates, 5e",Shanbhag,4.5 out of 5 stars,https://www.amazon.in/Pharmacology-Undergraduate-Students-5e-Shanbhag/dp/8131264955/ref=zg_bs_g_4149549031_d_sccl_9/000-0000000-0000000?psc=1
BD Chaurasia’s Handbook of General Anatomy 7/e,CHAURASIA B.D.,4.6 out of 5 stars,https://www.amazon.in/BD-Chaurasias-Handbook-General-Anatomy/dp/9354665691/ref=zg_bs_g_4149549031_d_sccl_10/000-0000000-0000000?psc=1
