Book Name,Author,Rating,URL
"THE 48 LAWS OF POWER [Paperback] Greene, Robert",Robert Greene,4.6 out of 5 stars,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_g_1318176031_d_sccl_1/000-0000000-0000000?psc=1
Man's Search For Meaning: The classic tribute to hope from the Holocaust | Must read classics by Victor E. Frankl,Victor E. Frankl,4.5 out of 5 stars,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_1318176031_d_sccl_2/000-0000000-0000000?psc=1
The Art of War,Sun Tzu,4.3 out of 5 stars,https://www.amazon.in/Art-War-Sun-Tzu-ebook/dp/B01FXQCVFC/ref=zg_bs_g_1318176031_d_sccl_3/000-0000000-0000000?psc=1
2024: The Election that Surprised India,Rajdeep Sardesai,3.6 out of 5 stars,https://www.amazon.in/2024-Election-that-Surprised-India/dp/9362135299/ref=zg_bs_g_1318176031_d_sccl_4/000-0000000-0000000?psc=1
The Accidental Prime Minister: The Making and Unmaking of Manmohan Singh [Paperback] Sanjaya Baru,Sanjaya Baru,4.2 out of 5 stars,https://www.amazon.in/Accidental-Prime-Minister-Unmaking-Manmohan/dp/0143424068/ref=zg_bs_g_1318176031_d_sccl_5/000-0000000-0000000?psc=1
Best of George Orwell Boxed Set (Animal Farm & 1984) Set of 2 Books,George Orwell,4.6 out of 5 stars,https://www.amazon.in/George-Orwell-Boxed-Animal-Books/dp/9358561181/ref=zg_bs_g_1318176031_d_sccl_6/000-0000000-0000000?psc=1
Start With Why | A Bestselling Business Book: Discover How Great Leaders Inspire Action and Achieve Success,SINEK SIMON,4.5 out of 5 stars,https://www.amazon.in/Start-Why-Leaders-Inspire-Everyone/dp/0241958229/ref=zg_bs_g_1318176031_d_sccl_7/000-0000000-0000000?psc=1
The Constitution of India (Deluxe Hardbound Edition) (Latest and Updated),Various,4.6 out of 5 stars,https://www.amazon.in/Constitution-India-Deluxe-Hardbound/dp/9358560746/ref=zg_bs_g_1318176031_d_sccl_8/000-0000000-0000000?psc=1
2024: The Election that Surprised India,Rajdeep Sardesai,3.6 out of 5 stars,https://www.amazon.in/2024-Election-that-Surprised-India/dp/B0DPR4WYVQ/ref=zg_bs_g_1318176031_d_sccl_9/000-0000000-0000000?psc=1
India that is Bharat,J Sai Deepak,4.8 out of 5 stars,https://www.amazon.in/India-that-Bharat-Civilisation-Constitution/dp/9354352499/ref=zg_bs_g_1318176031_d_sccl_10/000-0000000-0000000?psc=1
"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,4.6 out of 5 stars,https://www.amazon.in/Atheist-Other-Works-Bhagat-Singh/dp/9387022811/ref=zg_bs_g_1318176031_d_sccl_11/000-0000000-0000000?psc=1
"The Laws of Human Nature [Paperback] Greene, Robert",GREENE ROBERT,4.6 out of 5 stars,https://www.amazon.in/Laws-Human-Nature-Export-TPB/dp/1781259194/ref=zg_bs_g_1318176031_d_sccl_12/000-0000000-0000000?psc=1
1984,George Orwell,4.5 out of 5 stars,https://www.amazon.in/1984-George-Orwell/dp/9389053730/ref=zg_bs_g_1318176031_d_sccl_13/000-0000000-0000000?psc=1
Tipu Sultan: The Saga of Mysore's Interregnum (1760-1799),Vikram Sampath,4.4 out of 5 stars,https://www.amazon.in/Tipu-Sultan-Mysores-Interregnum-1760-1799/dp/0670094692/ref=zg_bs_g_1318176031_d_sccl_14/000-0000000-0000000?psc=1
Arthashastra By Kautilya - A Masterpiece On Economic Policies | Ancient Indian Political Philosophy | Hindu Spiritual Wisdom | Timeless Teachings | Practical Guidance [Paperback],Kautilya,4.4 out of 5 stars,https://www.amazon.in/Arthashastra-Kautilya/dp/9354403700/ref=zg_bs_g_1318176031_d_sccl_15/000-0000000-0000000?psc=1
The Paradoxical Prime Minister,Shashi Tharoor,4.2 out of 5 stars,https://www.amazon.in/Paradoxical-Prime-Minister-Shashi-Tharoor-ebook/dp/B07J9VHB2V/ref=zg_bs_g_1318176031_d_sccl_16/000-0000000-0000000?psc=1
Vishwa Shastra: India and the World,Dhruva Jaishankar,5.0 out of 5 stars,https://www.amazon.in/Vishwa-Shastra-India-Dhruva-Jaishankar/dp/0670091057/ref=zg_bs_g_1318176031_d_sccl_17/000-0000000-0000000?psc=1
Why Bharat Matters,S. Jaishankar,4.6 out of 5 stars,https://www.amazon.in/Why-Bharat-Matters-S-Jaishankar/dp/9357027602/ref=zg_bs_g_1318176031_d_sccl_18/000-0000000-0000000?psc=1
Hindus in Hindu Rashtra (Eighth-Class Citizens and Victims of State- Sanctioned Apartheid),Anand Ranganathan,4.8 out of 5 stars,https://www.amazon.in/Rashtra-Eighth-Class-Citizens-Sanctioned-Apartheid/dp/9392209479/ref=zg_bs_g_1318176031_d_sccl_19/000-0000000-0000000?psc=1
