Book Name,Author,Rating,URL
Ikigai: Japanese secret to long and happy life,Francesc Miralles,4.6 out of 5 stars,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_g_1318188031_d_sccl_1/000-0000000-0000000?psc=1
The Satvic Revolution: 7 Life-Changing Habits to Discover Peak Health and Joy,Subah Saraf,4.8 out of 5 stars,https://www.amazon.in/Satvic-Revolution-Life-Changing-Habits-Discover/dp/0143460382/ref=zg_bs_g_1318188031_d_sccl_2/000-0000000-0000000?psc=1
The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,Joseph Murphy,4.5 out of 5 stars,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_1318188031_d_sccl_3/000-0000000-0000000?psc=1
Shrimad Bhagwat Geeta Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,https://www.amazon.in/Shrimad-Bhagwat-Geeta-Yatharoop-Hindi/dp/938598618X/ref=zg_bs_g_1318188031_d_sccl_4/000-0000000-0000000?psc=1
Autobiography of a Yogi (Complete Original Edition),Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Complete-Free-CD/dp/818953551X/ref=zg_bs_g_1318188031_d_sccl_5/000-0000000-0000000?psc=1
Bhagvad Gita As It Is English New Edition,A. C. Bhaktivedanta Swami Prabhupad,4.8 out of 5 stars,https://www.amazon.in/Bhagavad-Gita-Original-English-As/dp/B07MDTX8BR/ref=zg_bs_g_1318188031_d_sccl_6/000-0000000-0000000?psc=1
The Power of Paradox,Kamlesh D Patel,NA,https://www.amazon.in/Power-Paradox-Kamlesh-D-Patel/dp/0143459309/ref=zg_bs_g_1318188031_d_sccl_7/000-0000000-0000000?psc=1
Enlightenment: A New Beginning,Sadhguru,4.6 out of 5 stars,https://www.amazon.in/Enlightenment-New-Beginning-Sadhguru/dp/0143473328/ref=zg_bs_g_1318188031_d_sccl_8/000-0000000-0000000?psc=1
The Psychology of Money (Tamil),Morgan Housel,4.3 out of 5 stars,https://www.amazon.in/Psychology-Money-Tamil-Morgan-Housel/dp/9391019196/ref=zg_bs_g_1318188031_d_sccl_9/000-0000000-0000000?psc=1
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318188031_d_sccl_10/000-0000000-0000000?psc=1
"THE 48 LAWS OF POWER [Paperback] Greene, Robert",Robert Greene,4.6 out of 5 stars,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_g_1318188031_d_sccl_11/000-0000000-0000000?psc=1
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6 out of 5 stars,https://www.amazon.in/Ikigai-Japanese-Secret-Long-Happy/dp/B0759S1XZQ/ref=zg_bs_g_1318188031_d_sccl_12/000-0000000-0000000?psc=1
Thirteen Months In The Himalayas : Chronicles of a Monk's Sadhana,Om Swami,4.9 out of 5 stars,https://www.amazon.in/Thirteen-Months-Himalayas-Chronicles-Sadhana/dp/9365694884/ref=zg_bs_g_1318188031_d_sccl_13/000-0000000-0000000?psc=1
"Autobiography of a Yogi [Original Edition (Complete), Premium Paperback]",Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Paramahansa-Yogananda/dp/8129145367/ref=zg_bs_g_1318188031_d_sccl_14/000-0000000-0000000?psc=1
Aapke Avchetan Mann Ki Shakti (The Power Of Your Subconscious Mind In Hindi),Joseph Murphy,4.4 out of 5 stars,https://www.amazon.in/Avchetan-Shakti-Power-Subconscious-Hindi/dp/8175993669/ref=zg_bs_g_1318188031_d_sccl_15/000-0000000-0000000?psc=1
Bhagavad Gita [Deluxe Hardbound Edition] Sacred Text for Self-Realization and Spiritual Enlightenment | Discover Ancient Wisdom | Timeless Religious Teachings | Book on India’s Vedic Wisdom,Anonymous,4.7 out of 5 stars,https://www.amazon.in/Hardbound-Self-Realization-Spiritual-Enlightenment-Religious/dp/9389432707/ref=zg_bs_g_1318188031_d_sccl_16/000-0000000-0000000?psc=1
THE BHAGAVAD GITA FOR MILLENNIALS,Bibek Debroy,4.3 out of 5 stars,https://www.amazon.in/BHAGAVAD-GITA-MILLENNIALS-Bibek-Debroy-ebook/dp/B08M9RZXTP/ref=zg_bs_g_1318188031_d_sccl_17/000-0000000-0000000?psc=1
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X/ref=zg_bs_g_1318188031_d_sccl_18/000-0000000-0000000?psc=1
Stop Overthinking 23 Techniques to Relieve Stress Stop Negative Spirals Declutter Your Mind and Focus on the Present,Nick Trenton,4.4 out of 5 stars,https://www.amazon.in/Stop-Overthinking-Nick-Trenton/dp/014345921X/ref=zg_bs_g_1318188031_d_sccl_19/000-0000000-0000000?psc=1
Manifest: 7 Steps to living your best life,Roxie Nafousi,4.5 out of 5 stars,https://www.amazon.in/Manifest-Sunday-Times-bestseller-change/dp/0241539595/ref=zg_bs_g_1318188031_d_sccl_20/000-0000000-0000000?psc=1
Gods Guns & Missionaries: A Prehistory of Hindu Nationalism,Manu S. Pillai,4.4 out of 5 stars,https://www.amazon.in/Gods-Guns-Missionaries-Prehistory-Nationalism/dp/0670093653/ref=zg_bs_g_1318188031_d_sccl_21/000-0000000-0000000?psc=1
"Kalnirnay Marathi Calendar 2025 || Monthly Hindu panchang, with tithi, nakshatra, and muhurat",Kalnirnay,5.0 out of 5 stars,https://www.amazon.in/Kalnirnay-Marathi-Calendar-panchang-nakshatra/dp/B0DM64GTJ8/ref=zg_bs_g_1318188031_d_sccl_22/000-0000000-0000000?psc=1
Autobiography of a Yogi in Hindi | Yogi Kathamrit | Ek Yogi Ki Atmakatha | Paramahansa Yogananda Hindi | Yogi Book,Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-of-a-Yogi/dp/B09C745BCM/ref=zg_bs_g_1318188031_d_sccl_23/000-0000000-0000000?psc=1
Hanuman Chalisa: हनुमान चालीसा – Hanuman Chalisa Pocket Size Book (Hindi & English) – Hanuman Aarti with 108 Names | Goddess of India | Divine Gift for Wisdom,Goswami Tulsidas,4.7 out of 5 stars,https://www.amazon.in/Hanuman-Chalisa-Pocket-Hindi-English/dp/9353768950/ref=zg_bs_g_1318188031_d_sccl_24/000-0000000-0000000?psc=1
You Can Heal Your Life,Louise Hay,4.6 out of 5 stars,https://www.amazon.in/You-Can-Heal-Your-Life/dp/8190565583/ref=zg_bs_g_1318188031_d_sccl_25/000-0000000-0000000?psc=1
Focus on What Matters,Darius Foroux,4.5 out of 5 stars,https://www.amazon.in/Focus-What-Matters-Darius-Foroux/dp/0143461842/ref=zg_bs_g_1318188031_d_sccl_26/000-0000000-0000000?psc=1
Mahagatha: 100 Tales from the Puranas,Satyarth Nayak,4.7 out of 5 stars,https://www.amazon.in/Mahagatha-Tales-Puranas-Satyarth-Nayak/dp/9356294496/ref=zg_bs_g_1318188031_d_sccl_27/000-0000000-0000000?psc=1
Relaxing Mandala Coloring Book For Adults,Wonder House Books,4.4 out of 5 stars,https://www.amazon.in/Relaxing-Mandala-Coloring-Book-Adults/dp/9354404863/ref=zg_bs_g_1318188031_d_sccl_28/000-0000000-0000000?psc=1
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,https://www.amazon.in/Autobiography-of-a-Yogi/dp/B079P54C5J/ref=zg_bs_g_1318188031_d_sccl_29/000-0000000-0000000?psc=1
