Book Name,Author,Rating,URL
உயிரழகே என்னருகே (Tamil Edition),சர ணிகா,4.2 out of 5 stars,https://www.amazon.in/%E0%AE%89%E0%AE%AF%E0%AE%BF%E0%AE%B0%E0%AE%B4%E0%AE%95%E0%AF%87-%E0%AE%8E%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%87-Tamil-%E0%AE%9A%E0%AE%B0-%E0%AE%A3%E0%AE%BF%E0%AE%95%E0%AE%BE-ebook/dp/B0D4SW6ZJX/ref=zg_bs_g_1318168031_d_sccl_1/000-0000000-0000000?psc=1
காதல் என்னை காதலிக்கவில்லை : Kaathal Ennai Kaathalikkavillai (Tamil Edition),Infaa Alocious L,4.4 out of 5 stars,https://www.amazon.in/%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%B2%E0%AF%8D-%E0%AE%8E%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AF%88-%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%B2%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%B5%E0%AE%BF%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%88-Kaathal-Kaathalikkavillai-ebook/dp/B0DR9HR4W3/ref=zg_bs_g_1318168031_d_sccl_2/000-0000000-0000000?psc=1
"Too Good to Be True : A smart, funny will-they-won’t-they romance",Prajakta Koli,NA,https://www.amazon.in/Too-Good-Be-True-will-they-wont-they/dp/936569339X/ref=zg_bs_g_1318168031_d_sccl_3/000-0000000-0000000?psc=1
மறக்குமா மாமன் உள்ளம்? (Tamil Edition),தேன் நிலா  J,4.5 out of 5 stars,https://www.amazon.in/%E0%AE%AE%E0%AE%B1%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE-%E0%AE%AE%E0%AE%BE%E0%AE%AE%E0%AE%A9%E0%AF%8D-%E0%AE%89%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AE%AE%E0%AF%8D-Tamil-%E0%AE%A4%E0%AF%87%E0%AE%A9%E0%AF%8D-ebook/dp/B0DR312FF2/ref=zg_bs_g_1318168031_d_sccl_4/000-0000000-0000000?psc=1
எனை ஆட்கொள்வாயா உன் இதயச் சிறையில்! (Tamil Edition),ஜீஷா ஶ்ரீ  Jeesha sri ,5.0 out of 5 stars,https://www.amazon.in/%E0%AE%8E%E0%AE%A9%E0%AF%88-%E0%AE%86%E0%AE%9F%E0%AF%8D%E0%AE%95%E0%AF%8A%E0%AE%B3%E0%AF%8D%E0%AE%B5%E0%AE%BE%E0%AE%AF%E0%AE%BE-%E0%AE%87%E0%AE%A4%E0%AE%AF%E0%AE%9A%E0%AF%8D-%E0%AE%9A%E0%AE%BF%E0%AE%B1%E0%AF%88%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D-Tamil-ebook/dp/B0DB62YTCR/ref=zg_bs_g_1318168031_d_sccl_5/000-0000000-0000000?psc=1
விழி அழகில் மீண்டேனடி (Tamil Edition),மீனா கண்ணன்  Meena kannan,4.5 out of 5 stars,https://www.amazon.in/%E0%AE%85%E0%AE%B4%E0%AE%95%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%AE%E0%AF%80%E0%AE%A3%E0%AF%8D%E0%AE%9F%E0%AF%87%E0%AE%A9%E0%AE%9F%E0%AE%BF-Tamil-%E0%AE%95%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%A9%E0%AF%8D-kannan-ebook/dp/B0DLH73XF3/ref=zg_bs_g_1318168031_d_sccl_6/000-0000000-0000000?psc=1
அதிரடிக்காரன் மச்சான் டி [ Athiradikkaran Machaan Di] Part -1 (அதிரடிக்காரன் மச்சான் டி [Athiradikkaran Machaan Di]) (Tamil Edition),Pradhanya  Kuzhali ,4.3 out of 5 stars,https://www.amazon.in/%E0%AE%85%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%A9%E0%AF%8D-%E0%AE%AE%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%A9%E0%AF%8D-Athiradikkaran-Machaan-Tamil-ebook/dp/B0DR88HP52/ref=zg_bs_g_1318168031_d_sccl_7/000-0000000-0000000?psc=1
Cruel Winter with You (Under the Mistletoe collection),Ali Hazelwood,4.0 out of 5 stars,https://www.amazon.in/Cruel-Winter-Under-Mistletoe-collection-ebook/dp/B0D9KNVB11/ref=zg_bs_g_1318168031_d_sccl_8/000-0000000-0000000?psc=1
ஜனகரின் பொம்மி (Tamil Edition),SAKTHI GURU,4.5 out of 5 stars,https://www.amazon.in/%E0%AE%9C%E0%AE%A9%E0%AE%95%E0%AE%B0%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%AA%E0%AF%8A%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AE%BF-Tamil-SAKTHI-GURU-ebook/dp/B0DR71RSLY/ref=zg_bs_g_1318168031_d_sccl_9/000-0000000-0000000?psc=1
மேக மழைச்சாரல் : Mega mazhai saral (Tamil Edition),Meera Krish ,4.5 out of 5 stars,https://www.amazon.in/%E0%AE%AE%E0%AF%87%E0%AE%95-%E0%AE%AE%E0%AE%B4%E0%AF%88%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%B0%E0%AE%B2%E0%AF%8D-mazhai-saral-Tamil-ebook/dp/B0DR7RHD64/ref=zg_bs_g_1318168031_d_sccl_10/000-0000000-0000000?psc=1
வைகை நதி (Tamil Edition),அம்மு இளையாள் அம்மு இளையாள்,4.6 out of 5 stars,https://www.amazon.in/%E0%AE%B5%E0%AF%88%E0%AE%95%E0%AF%88-%E0%AE%A8%E0%AE%A4%E0%AE%BF-Tamil-%E0%AE%85%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AF%81-%E0%AE%87%E0%AE%B3%E0%AF%88%E0%AE%AF%E0%AE%BE%E0%AE%B3%E0%AF%8D-ebook/dp/B0DRDPQ4KD/ref=zg_bs_g_1318168031_d_sccl_11/000-0000000-0000000?psc=1
The Wrong Bride: Ares and Raven's Story (The Windsors),Catharina Maura,4.3 out of 5 stars,https://www.amazon.in/Wrong-Bride-Ravens-Story-Windsors-ebook/dp/B0B9TBGC5X/ref=zg_bs_g_1318168031_d_sccl_12/000-0000000-0000000?psc=1
எண்ணம் யாவும் நீ தானடி (Tamil Edition),தீரன் தீரா Theeran Theera,4.6 out of 5 stars,https://www.amazon.in/%E0%AE%8E%E0%AE%A3%E0%AF%8D%E0%AE%A3%E0%AE%AE%E0%AF%8D-%E0%AE%AF%E0%AE%BE%E0%AE%B5%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%A8%E0%AF%80-%E0%AE%A4%E0%AE%BE%E0%AE%A9%E0%AE%9F%E0%AE%BF-Tamil-ebook/dp/B0DR87QQPJ/ref=zg_bs_g_1318168031_d_sccl_13/000-0000000-0000000?psc=1
Kallurum Kadhal velaiyil (கள்ளூறும் காதல் வேளையில்) (Tamil Edition),JI YA,4.5 out of 5 stars,https://www.amazon.in/Kallurum-Kadhal-velaiyil-%E0%AE%95%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AF%82%E0%AE%B1%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%B5%E0%AF%87%E0%AE%B3%E0%AF%88%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D-ebook/dp/B0DR3438XJ/ref=zg_bs_g_1318168031_d_sccl_14/000-0000000-0000000?psc=1
இதயத்தின் அதிர்வு நீயா? (Tamil Edition),செழிலி செழிலி,4.3 out of 5 stars,https://www.amazon.in/%E0%AE%87%E0%AE%A4%E0%AE%AF%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%85%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%8D%E0%AE%B5%E0%AF%81-%E0%AE%A8%E0%AF%80%E0%AE%AF%E0%AE%BE-Tamil-%E0%AE%9A%E0%AF%86%E0%AE%B4%E0%AE%BF%E0%AE%B2%E0%AE%BF-ebook/dp/B0DQVMKL4C/ref=zg_bs_g_1318168031_d_sccl_15/000-0000000-0000000?psc=1
Mine for a Moment,Catharina Maura,4.4 out of 5 stars,https://www.amazon.in/Mine-Moment-Catharina-Maura-ebook/dp/B0D6H18W8W/ref=zg_bs_g_1318168031_d_sccl_16/000-0000000-0000000?psc=1
காமப் பெருநதி - பாகம் 4 / KAAMA PERUNADHI PART - 4: நவீன வாத்சாயனாவின் காமப்பெருநதி - பாகம் 4 (எபிசோடு 35 முதல் 53 வரை...) (Tamil Edition),En Vee - Author NV,3.5 out of 5 stars,https://www.amazon.in/%E0%AE%95%E0%AE%BE%E0%AE%AE%E0%AE%AA%E0%AF%8D-%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AF%81%E0%AE%A8%E0%AE%A4%E0%AE%BF-PERUNADHI-%E0%AE%B5%E0%AE%BE%E0%AE%A4%E0%AF%8D%E0%AE%9A%E0%AE%BE%E0%AE%AF%E0%AE%A9%E0%AE%BE%E0%AE%B5%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%95%E0%AE%BE%E0%AE%AE%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AF%81%E0%AE%A8%E0%AE%A4%E0%AE%BF-ebook/dp/B0DQLRQC5B/ref=zg_bs_g_1318168031_d_sccl_17/000-0000000-0000000?psc=1
மகே காதலே : Mage Kathale (Tamil Edition),ஆத்விகா பொம்மு  (Aadvika pommu),4.5 out of 5 stars,https://www.amazon.in/%E0%AE%AE%E0%AE%95%E0%AF%87-%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%B2%E0%AF%87-Mage-Kathale-Tamil-ebook/dp/B0DQH7M6X8/ref=zg_bs_g_1318168031_d_sccl_18/000-0000000-0000000?psc=1
"More Than A Feeling: An Unrequited Love, Second Chance Novella (A Modern Vintage Romance)",Maya Alden,3.9 out of 5 stars,https://www.amazon.in/More-Than-Feeling-Unrequited-Novella-ebook/dp/B0DFV49BL5/ref=zg_bs_g_1318168031_d_sccl_19/000-0000000-0000000?psc=1
Falling For My Innocent Wife: An Accidental Pregnancy Romance,BHAVANA  SINGH,4.4 out of 5 stars,https://www.amazon.in/Falling-Innocent-Wife-Accidental-Pregnancy-ebook/dp/B0DRGQ5D6H/ref=zg_bs_g_1318168031_d_sccl_20/000-0000000-0000000?psc=1
The Temporary Wife: Luca and Valentina's Story (The Windsors),Catharina Maura,4.4 out of 5 stars,https://www.amazon.in/Temporary-Wife-Valentinas-Story-Windsors-ebook/dp/B0BHN8JB7C/ref=zg_bs_g_1318168031_d_sccl_21/000-0000000-0000000?psc=1
இரதியின் இராவணா! (Tamil Edition),SANAGEETH NOVELS,4.5 out of 5 stars,https://www.amazon.in/%E0%AE%87%E0%AE%B0%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%87%E0%AE%B0%E0%AE%BE%E0%AE%B5%E0%AE%A3%E0%AE%BE-Tamil-SANAGEETH-NOVELS-ebook/dp/B0DQ9ZZ8LJ/ref=zg_bs_g_1318168031_d_sccl_22/000-0000000-0000000?psc=1
You Only Live Once [Paperback] Changle Stuti,STUTI CHANGLE,4.4 out of 5 stars,https://www.amazon.in/Only-Live-Paperback-Changle-Stuti/dp/0143453580/ref=zg_bs_g_1318168031_d_sccl_23/000-0000000-0000000?psc=1
The Unwanted Marriage: Dion and Faye's Story (The Windsors),Catharina Maura,4.3 out of 5 stars,https://www.amazon.in/Unwanted-Marriage-Fayes-Story-Windsors-ebook/dp/B0BT9W3ZS2/ref=zg_bs_g_1318168031_d_sccl_24/000-0000000-0000000?psc=1
என் ஆசையெல்லாம் உன் நெருக்கத்திலே [ En Asaiyellam Un Nerukkaththiley (Tamil Edition),Pradhanya  Kuzhali ,4.0 out of 5 stars,https://www.amazon.in/%E0%AE%86%E0%AE%9A%E0%AF%88%E0%AE%AF%E0%AF%86%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%BE%E0%AE%AE%E0%AF%8D-%E0%AE%A8%E0%AF%86%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B2%E0%AF%87-Asaiyellam-Nerukkaththiley-Tamil-ebook/dp/B0DPQV5854/ref=zg_bs_g_1318168031_d_sccl_25/000-0000000-0000000?psc=1
His Ruthless Revenge : An Indian Forced Marriage and Second Chances,Sai Vignana Sindhu,4.2 out of 5 stars,https://www.amazon.in/His-Ruthless-Revenge-Marriage-Chances-ebook/dp/B0DPR83Y36/ref=zg_bs_g_1318168031_d_sccl_26/000-0000000-0000000?psc=1
அமிழ்தாய் நான் அமிலமாய் நீ..!! (Tamil Edition),Sri vinitha ஸ்ரீ வினிதா,4.4 out of 5 stars,https://www.amazon.in/%E0%AE%85%E0%AE%AE%E0%AE%BF%E0%AE%B4%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%AF%E0%AF%8D-%E0%AE%A8%E0%AE%BE%E0%AE%A9%E0%AF%8D-%E0%AE%85%E0%AE%AE%E0%AE%BF%E0%AE%B2%E0%AE%AE%E0%AE%BE%E0%AE%AF%E0%AF%8D-%E0%AE%A8%E0%AF%80-Tamil-ebook/dp/B0DQVGGY9S/ref=zg_bs_g_1318168031_d_sccl_27/000-0000000-0000000?psc=1
Sweet Prison: An Age Gap Mafia Romance (Perfectly Imperfect Book 10),Neva Altaj,4.4 out of 5 stars,https://www.amazon.in/Sweet-Prison-Forbidden-Perfectly-Imperfect-ebook/dp/B0CW1M59R6/ref=zg_bs_g_1318168031_d_sccl_28/000-0000000-0000000?psc=1
"The Spare Room: The absolute must-have forced proximity, friends to lovers romantic comedy to read this year!",Laura Starkey,4.0 out of 5 stars,https://www.amazon.in/Spare-Room-absolute-must-have-proximity-ebook/dp/B0CMHMWNQL/ref=zg_bs_g_1318168031_d_sccl_29/000-0000000-0000000?psc=1
"Luv (Un)Arranged: A Steamy, Arranged Marriage Romance (Luv Shuv Book 3)",N. M. Patel,4.6 out of 5 stars,https://www.amazon.in/Luv-Arranged-Steamy-Marriage-Romance-ebook/dp/B0D2NQMV33/ref=zg_bs_g_1318168031_d_sccl_30/000-0000000-0000000?psc=1
Contractually Yours: An Arranged Marriage Romance (The Lasker Brothers),Nadia Lee,4.4 out of 5 stars,https://www.amazon.in/Contractually-Yours-Arranged-Marriage-Brothers-ebook/dp/B0C52YZGTG/ref=zg_bs_g_1318168031_d_sccl_1/000-0000000-0000000?psc=1
Otrai vizhi paarvaiyil vizhunthenati..! : ஒற்றை விழி பார்வையில் விழுந்தேனடி (Tamil Edition),Kani Suresh கனி சுரேஷ் ,4.3 out of 5 stars,https://www.amazon.in/Otrai-vizhi-paarvaiyil-vizhunthenati-%E0%AE%B5%E0%AE%BF%E0%AE%B4%E0%AF%81%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%87%E0%AE%A9%E0%AE%9F%E0%AE%BF-ebook/dp/B0DQF6GF21/ref=zg_bs_g_1318168031_d_sccl_2/000-0000000-0000000?psc=1
"Fake It 'til You Make It: A laugh-out-loud, fake-dating romantic comedy from Laura Carter",Laura Carter,4.3 out of 5 stars,https://www.amazon.in/Fake-til-You-Make-laugh-out-loud-ebook/dp/B0CPSD3ZY6/ref=zg_bs_g_1318168031_d_sccl_3/000-0000000-0000000?psc=1
