Book Name,Author,Rating,URL
"Educart CBSE Class 10 Most Likely Sets of Sample Papers - Science, Maths Standard, Social Science & English (with Answer Writing Sheets 2024-25)",Prashant Kirad,4.9 out of 5 stars,https://www.amazon.in/Educart-Class-Likely-Sample-Papers/dp/9360540072/ref=zg_bs_g_4149807031_d_sccl_1/000-0000000-0000000?psc=1
"Oswaal CBSE 25 Combined Sample Question papers Class 10 Books Science, Mathematics Standard, Social Science, English Language and Literature, Hindi-A (For 2025 Exam)",Oswaal Editorial Board,4.7 out of 5 stars,https://www.amazon.in/Combined-Question-Mathematics-Standard-Literature/dp/9362392348/ref=zg_bs_g_4149807031_d_sccl_2/000-0000000-0000000?psc=1
"PW CBSE | Class 10 | 15 New Pattern Sample Paper Science, Maths (Std), English & Social Science Combo Set of 4 Books for 2025 Board Exam | 50% Competency Based Questions",PW (Physics Wallah),4.7 out of 5 stars,https://www.amazon.in/Pattern-Science-English-Competency-Questions/dp/934814104X/ref=zg_bs_g_4149807031_d_sccl_3/000-0000000-0000000?psc=1
"Educart CBSE Sample Paper Class 10 2024-25 - Science, Mathematics (Standard), Social Science & English Combo Set of 4 Books (with exclusive CBSE Mock Booklets) for 2025 Exam",Educart,4.7 out of 5 stars,https://www.amazon.in/Educart-Sample-Paper-Class-2024-25/dp/9360548316/ref=zg_bs_g_4149807031_d_sccl_4/000-0000000-0000000?psc=1
Oswaal CBSE Sample Question Papers Class 10 Science Book (For 2025 Exam),Oswaal Editorial Board,4.3 out of 5 stars,https://www.amazon.in/Oswaal-Sample-Question-Papers-Science/dp/9362391465/ref=zg_bs_g_4149807031_d_sccl_5/000-0000000-0000000?psc=1
Educart CBSE Science Class 10 Sample Papers 2024-25 (With exclusive CBSE Mock Booklets for 2025 Exam),Prashant Kirad,4.6 out of 5 stars,https://www.amazon.in/Educart-Science-2024-25-exclusive-Booklets/dp/9360546623/ref=zg_bs_g_4149807031_d_sccl_6/000-0000000-0000000?psc=1
Oswaal CBSE Sample Question Papers Class 10 Mathematics Standard Book (For 2025 Exam),Oswaal Editorial Board,4.6 out of 5 stars,https://www.amazon.in/Oswaal-Sample-Question-Mathematics-Standard/dp/9362393441/ref=zg_bs_g_4149807031_d_sccl_7/000-0000000-0000000?psc=1
Educart CBSE Social Science Class 10 Sample Papers 2024-25 (With exclusive CBSE Mock Booklets for 2025 Exam),Digraj Singh Rajput,4.5 out of 5 stars,https://www.amazon.in/Educart-Science-2024-25-exclusive-Booklets/dp/9360545333/ref=zg_bs_g_4149807031_d_sccl_8/000-0000000-0000000?psc=1
"1'o Clock Revision book for Science, Maths and Social Science for Class 10th CBSE 2025 (Set of 2) | AI Images | Flowcharts | Tables | Diagrams | Maps and much more, Revise Instantly",KRITI SHARMA,4.6 out of 5 stars,https://www.amazon.in/Revision-Science-Flowcharts-Diagrams-Instantly/dp/8197393540/ref=zg_bs_g_4149807031_d_sccl_9/000-0000000-0000000?psc=1
PW CBSE | Class 10 | 15 New Pattern Sample Question Papers Science For 2025 Board Exam with 50 Percent Competency Based Questions 100 Most Probable Questions,PW (Physics Wallah),4.0 out of 5 stars,https://www.amazon.in/Pattern-Question-Competency-Questions-Probable/dp/819747799X/ref=zg_bs_g_4149807031_d_sccl_10/000-0000000-0000000?psc=1
Oswaal CBSE Sample Question Papers Class 10 Social Science Book (For 2025 Exam),Oswaal Editorial Board,4.7 out of 5 stars,https://www.amazon.in/Oswaal-Sample-Question-Papers-Science/dp/936239054X/ref=zg_bs_g_4149807031_d_sccl_11/000-0000000-0000000?psc=1
Educart CBSE Mathematics Standard Class 10 Sample Papers 2024-25 (With exclusive CBSE Mock Booklets for 2025 Exam),Mansi Sharma,4.6 out of 5 stars,https://www.amazon.in/Educart-Mathematics-Standard-exclusive-Booklets/dp/9360548219/ref=zg_bs_g_4149807031_d_sccl_12/000-0000000-0000000?psc=1
All In One Social Science CBSE Class 10th Based On Latest NCERT For CBSE Exams 2025 | Mind map in each chapter | Clear & Concise Theory | Intext & Chapter Exercises | Sample Question Papers,Susmita Dhar Kriti Arora ,4.4 out of 5 stars,https://www.amazon.in/Science-chapter-Concise-Exercises-Question/dp/9359986704/ref=zg_bs_g_4149807031_d_sccl_13/000-0000000-0000000?psc=1
"Oswaal CBSE Sample Question Papers Class 10 English, Science, Social Science & Maths Standard (Set of 4 Books) (For Board Exams 2025)",Oswaal Editorial Board,4.5 out of 5 stars,https://www.amazon.in/Oswaal-Question-English-Science-Standard/dp/9362395592/ref=zg_bs_g_4149807031_d_sccl_14/000-0000000-0000000?psc=1
Educart CBSE Class 10 Final Revision Book 2025 - Maths + Science + Social Science + English (2024-25),Prem Sharma,4.3 out of 5 stars,https://www.amazon.in/Educart-CBSE-Class-Final-Revision/dp/936054731X/ref=zg_bs_g_4149807031_d_sccl_15/000-0000000-0000000?psc=1
Oswaal CBSE Sample Question Papers Class 10 English Language & Literature Book (For 2025 Exam),Oswaal Editorial Board,4.4 out of 5 stars,https://www.amazon.in/Oswaal-Question-English-Language-Literature/dp/9362398540/ref=zg_bs_g_4149807031_d_sccl_16/000-0000000-0000000?psc=1
"(IMPORTANT Qs, ALL TOPICS) Educart CBSE Class 10 SCIENCE One Shot Question Bank 2024-25 (for 2025 exam)",Prashant Kirad,4.4 out of 5 stars,https://www.amazon.in/Educart-SCIENCE-Question-2024-25-Exclusively/dp/936054972X/ref=zg_bs_g_4149807031_d_sccl_17/000-0000000-0000000?psc=1
