Book Name,Author,Rating,URL
BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL by Aditya Ranjan Sir,Aditya Ranjan Sir,4.4 out of 5 stars,https://www.amazon.in/BRAHMASTRA-Complete-Multicolored-Formula-BILINGUAL/dp/9387910016/ref=zg_bs_g_4149708031_d_sccl_1/000-0000000-0000000?psc=1
"PW Zoology Med Easy For NEET and Board Exams 2024-25 | Flowcharts, Schematic Diagrams Samapti Sinha Mahapatra Handwritten Notes",Samapti Sinha Mahapatra,4.6 out of 5 stars,https://www.amazon.in/Flowcharts-Schematic-Diagrams-Mahapatra-Handwritten/dp/9360345067/ref=zg_bs_g_4149708031_d_sccl_2/000-0000000-0000000?psc=1
The Coming Wave : The instant Sunday Times bestseller from the ultimate AI insider,Mustafa Suleyman and Michael Bhaskar,4.2 out of 5 stars,https://www.amazon.in/Coming-Wave-Technology-Twenty-First-Centurys/dp/1847927491/ref=zg_bs_g_4149708031_d_sccl_3/000-0000000-0000000?psc=1
"Relativity: The Special And The General Theory by Albert Einstein | Concepts of Physics, Relativity, General Relativity & Quantum Mechanics | Conceptual Physics, University Physics & Calculus Core",Albert Einstein,4.6 out of 5 stars,https://www.amazon.in/Relativity-Einstein-Mechanics-Conceptual-University/dp/9362631253/ref=zg_bs_g_4149708031_d_sccl_4/000-0000000-0000000?psc=1
The Beginning of Infinity,David Deutsch,4.5 out of 5 stars,https://www.amazon.in/Penguin-Classics-Beginning-Infinity-Deutsch/dp/0140278168/ref=zg_bs_g_4149708031_d_sccl_5/000-0000000-0000000?psc=1
Why We Die: The New Science of Ageing and the Quest for Immortality,Venki Ramakrishnan,4.6 out of 5 stars,https://www.amazon.in/Why-We-Die-Science-Immortality/dp/1529369258/ref=zg_bs_g_4149708031_d_sccl_6/000-0000000-0000000?psc=1
Relativity: The Special And The General Theory by Albert Einstein - Theory of Relativity | Physics and Astrophysics | Space and Time | General Relativity | Scientific Explanation | Albert Einstein Books,Albert Einstein,4.5 out of 5 stars,https://www.amazon.in/Relativity-Special-General-Albert-Einstein/dp/8175994657/ref=zg_bs_g_4149708031_d_sccl_7/000-0000000-0000000?psc=1
"Behave: The bestselling exploration of why humans behave as they do [Paperback] Sapolsky, Robert M",Robert M Sapolsky,4.5 out of 5 stars,https://www.amazon.in/Behave-Biology-Humans-Best-Worst/dp/009957506X/ref=zg_bs_g_4149708031_d_sccl_8/000-0000000-0000000?psc=1
A Brief History Of Time,Stephen Hawking,4.6 out of 5 stars,https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211/ref=zg_bs_g_4149708031_d_sccl_9/000-0000000-0000000?psc=1
COSMOS,Carl Sagan,4.5 out of 5 stars,https://www.amazon.in/COSMOS-Carl-Sagan/dp/0349107033/ref=zg_bs_g_4149708031_d_sccl_10/000-0000000-0000000?psc=1
Black Holes (L) : The Reith Lectures,Stephen Hawking,4.5 out of 5 stars,https://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X/ref=zg_bs_g_4149708031_d_sccl_11/000-0000000-0000000?psc=1
Algorithms to Live By : The Computer Science of Human Decisions,Tom Griffiths Brian Christian,4.5 out of 5 stars,https://www.amazon.in/Algorithms-Live-Computer-Science-Decisions/dp/0007547994/ref=zg_bs_g_4149708031_d_sccl_12/000-0000000-0000000?psc=1
Guns Germs and Steel,Jared Diamond,4.5 out of 5 stars,https://www.amazon.in/Guns-Germs-Steel-Jared-Diamond/dp/0099302780/ref=zg_bs_g_4149708031_d_sccl_13/000-0000000-0000000?psc=1
WHAT IF? (REISSUE),Randall Munroe,4.4 out of 5 stars,https://www.amazon.in/What-If-Randall-Munroe/dp/1848549563/ref=zg_bs_g_4149708031_d_sccl_14/000-0000000-0000000?psc=1
Arihant Classic Text Series - Problems in General Physics | Complete Syllabus | Summary | Complete Solutions |,IE Irodov,4.4 out of 5 stars,https://www.amazon.in/Problems-General-Physics-IE-Irodov/dp/938812734X/ref=zg_bs_g_4149708031_d_sccl_15/000-0000000-0000000?psc=1
A Short History of Nearly Everything,Bill Bryson,4.6 out of 5 stars,https://www.amazon.in/Short-History-Nearly-Everything/dp/1784161853/ref=zg_bs_g_4149708031_d_sccl_16/000-0000000-0000000?psc=1
GKP Physics Galaxy 700+ Advanced Illustrations in Physics for JEE-Advanced By Ashish Arora,Ashish Arora,4.5 out of 5 stars,https://www.amazon.in/Physics-Galaxy-2020-21-Advanced-Illustration/dp/8193975634/ref=zg_bs_g_4149708031_d_sccl_17/000-0000000-0000000?psc=1
How To Solve It,G Polya,4.5 out of 5 stars,https://www.amazon.in/How-Solve-Aspect-Mathematical-Method/dp/0140124993/ref=zg_bs_g_4149708031_d_sccl_18/000-0000000-0000000?psc=1
Surely Youre Joking Mr Feynman,Richard P Feynman,4.6 out of 5 stars,https://www.amazon.in/Surely-youre-Joking-Feynman-Adventures/dp/009917331X/ref=zg_bs_g_4149708031_d_sccl_19/000-0000000-0000000?psc=1
"CSIR NET Life Science PYQ Book | Previous Year Solved Papers with Detailed Solutions (2011 to Dec 2023) - Best Seller Previous Year Questions Papers Book for NTA CSIR UGC NET, GATE, DBT, ICMR, ICAR Bioscience Examinations in India - Chapterwise & Topicwise Sorted Questions - IFAS Publications",Kailash Choudhary,4.3 out of 5 stars,https://www.amazon.in/Science-Previous-Questions-Solutions-2001-2022/dp/B0B4G57RBB/ref=zg_bs_g_4149708031_d_sccl_20/000-0000000-0000000?psc=1
THE SELFISH GENE 4E,Richard Dawkins,4.6 out of 5 stars,https://www.amazon.in/SELFISH-GENE-4E-Richard-Dawkins/dp/0198788606/ref=zg_bs_g_4149708031_d_sccl_21/000-0000000-0000000?psc=1
"Conceptual Physics - Paul G. Hewitt [Highly Recommended by Narayan Murthy], 13e - Pearson",Paul G. Hewitt,4.0 out of 5 stars,https://www.amazon.in/Conceptual-Physics-Recommended-Narayan-Pearson/dp/9361598287/ref=zg_bs_g_4149708031_d_sccl_22/000-0000000-0000000?psc=1
Secrets of Mental Math,Arthur Benjamin,4.4 out of 5 stars,https://www.amazon.in/Secrets-Mental-Math-Mathemagicians-Calculation/dp/0307338401/ref=zg_bs_g_4149708031_d_sccl_23/000-0000000-0000000?psc=1
Arihant Skills in Mathematics - Play with Graphs for JEE Main and Advanced,Amit M Agarwal,4.5 out of 5 stars,https://www.amazon.in/Skills-Mathematics-Play-Graphs-Advanced/dp/938920481X/ref=zg_bs_g_4149708031_d_sccl_24/000-0000000-0000000?psc=1
Arihant Classic Text Series - Elementary Algebra For Schools |,HS Hall & SR Knight,4.1 out of 5 stars,https://www.amazon.in/Elementary-Algebra-Schools-Hall-Knight/dp/9388127463/ref=zg_bs_g_4149708031_d_sccl_25/000-0000000-0000000?psc=1
"In Search Of Schrodinger's Cat: Updated Edition [Paperback] Gribbin, John",John Gribbin,4.6 out of 5 stars,https://www.amazon.in/Search-Schrodingers-Cat-Updated/dp/0552125555/ref=zg_bs_g_4149708031_d_sccl_26/000-0000000-0000000?psc=1
"Arihant Classic Text Series, Higher Algebra | Enormous Examples | Chapterwise study notes | Miscellaneous Examples & Answers",Hall & Knight,4.1 out of 5 stars,https://www.amazon.in/Arihant-Enormous-Examples-Chapterwise-Miscellaneous/dp/9388127315/ref=zg_bs_g_4149708031_d_sccl_27/000-0000000-0000000?psc=1
Space - Collection of 6 Books: Knowledge Encyclopedia For Children,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Space-Collection-Knowledge-Encyclopedia-Children/dp/9390391741/ref=zg_bs_g_4149708031_d_sccl_28/000-0000000-0000000?psc=1
NCERT BIOLOGY TEXT BOOK FOR CLASS 11 AND 12 (SET OF 2 BOOKS),NCERT,3.5 out of 5 stars,https://www.amazon.in/NCERT-BIOLOGY-TEXT-CLASS-BOOKS/dp/B09F6T67CF/ref=zg_bs_g_4149708031_d_sccl_29/000-0000000-0000000?psc=1
"CSIR NET General Aptitude (Part A) Book 2024 - Detailed Theory, Practice Questions & Previous Years Questions Paper with Detailed Solutions. Best Book for CSIR-UGC-NET/JRF General Aptitude PYQ in India - IFAS",Kailash Choudhary,4.0 out of 5 stars,https://www.amazon.in/General-Aptitude-Complete-Syllabus-Question/dp/8194843731/ref=zg_bs_g_4149708031_d_sccl_30/000-0000000-0000000?psc=1
An Immense World: How Animal Senses Reveal the Hidden Realms Around Us (THE SUNDAY TIMES BESTSELLER),Ed Yong,4.7 out of 5 stars,https://www.amazon.in/Immense-World-Animal-Senses-BESTSELLER/dp/1529112117/ref=zg_bs_g_4149708031_d_sccl_1/000-0000000-0000000?psc=1
Higher Engineering Mathematics [Perfect Paperback]LATEST 45TH EDITION AVAILABLE AT KHANNA PUBLISHERS ONLY,Dr. B.S.Grewal,4.4 out of 5 stars,https://www.amazon.in/Higher-Engineering-Mathematics-B-S-Grewal/dp/8193328493/ref=zg_bs_g_4149708031_d_sccl_2/000-0000000-0000000?psc=1
