Book Name,Author,Rating,URL
"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness",Ichiro Kishimi and Fumitake Koga,4.6 out of 5 stars,https://www.amazon.in/Courage-Be-Disliked-yourself-happiness/dp/1760630721/ref=zg_bs_g_1318216031_d_sccl_1/000-0000000-0000000?psc=1
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.6 out of 5 stars,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=zg_bs_g_1318216031_d_sccl_2/000-0000000-0000000?psc=1
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,4.5 out of 5 stars,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_1318216031_d_sccl_3/000-0000000-0000000?psc=1
"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,4.6 out of 5 stars,https://www.amazon.in/Courage-Be-Disliked-Yourself-Happiness/dp/B079MBMBJK/ref=zg_bs_g_1318216031_d_sccl_4/000-0000000-0000000?psc=1
Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,4.5 out of 5 stars,https://www.amazon.in/Nexus-Brief-History-Information-Networks/dp/B0CSYY5CR5/ref=zg_bs_g_1318216031_d_sccl_5/000-0000000-0000000?psc=1
"THE 48 LAWS OF POWER [Paperback] Greene, Robert",Robert Greene,4.6 out of 5 stars,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_g_1318216031_d_sccl_6/000-0000000-0000000?psc=1
Nexus: FROM THE MULTI-MILLION COPY BESTSELLING AUTHOR OF SAPIENS,Yuval Noah Harari,4.5 out of 5 stars,https://www.amazon.in/Nexus-MULTI-MILLION-BESTSELLING-AUTHOR-SAPIENS/dp/191171709X/ref=zg_bs_g_1318216031_d_sccl_7/000-0000000-0000000?psc=1
Man's Search For Meaning: The classic tribute to hope from the Holocaust | Must read classics by Victor E. Frankl,Victor E. Frankl,4.5 out of 5 stars,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_1318216031_d_sccl_8/000-0000000-0000000?psc=1
"The Art of Being Alone: Loneliness Was My Cage, Solitude Is My Home (English)",Renuka Gavrani,4.4 out of 5 stars,https://www.amazon.in/Art-Being-Alone-Loneliness-Solitude/dp/9355434022/ref=zg_bs_g_1318216031_d_sccl_9/000-0000000-0000000?psc=1
Sapiens: A Brief History of Humankind: The multi-million copy bestseller,Yuval Noah Harari,4.7 out of 5 stars,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_g_1318216031_d_sccl_10/000-0000000-0000000?psc=1
