Book Name,Author,Rating,URL
The Barefoot Coach: Life-Changing Insights from Coaching the World's Best Cricketers,Paddy Upton,4.6 out of 5 stars,https://www.amazon.in/Barefoot-Coach-Life-Changing-Insights-Cricketers/dp/014346387X/ref=zg_bs_g_1318224031_d_sccl_1/000-0000000-0000000?psc=1
Light On Yoga,B.K.S. Iyengar,4.5 out of 5 stars,https://www.amazon.in/LIGHT-YOGA-B-K-S-Iyengar/dp/8172235011/ref=zg_bs_g_1318224031_d_sccl_2/000-0000000-0000000?psc=1
Zen And The Art Of Motorcycle Maintenanc: 40th Anniversary Edition,Robert Pirsig,4.5 out of 5 stars,https://www.amazon.in/Zen-Art-Motorcycle-Maintenance-Anniversary/dp/0099598167/ref=zg_bs_g_1318224031_d_sccl_3/000-0000000-0000000?psc=1
imusti Hatha Yoga Pradipika Book,Swami Muktibodhananda,4.7 out of 5 stars,https://www.amazon.in/Hatha-Yoga-Pradipika-Muktibodhananda-Swami/dp/8185787387/ref=zg_bs_g_1318224031_d_sccl_4/000-0000000-0000000?psc=1
Yuktahaar: The Belly And Brain Diet,Munmun Ganeriwal,4.3 out of 5 stars,https://www.amazon.in/Yuktahaar-Belly-Brain-Munmun-Ganeriwal/dp/0143454382/ref=zg_bs_g_1318224031_d_sccl_5/000-0000000-0000000?psc=1
Mind Master,Viswanathan Susan Anand Ninan,4.6 out of 5 stars,https://www.amazon.in/Mind-Master-Winning-Lessons-Champions/dp/9391028217/ref=zg_bs_g_1318224031_d_sccl_6/000-0000000-0000000?psc=1
Training for a Healthy Life: A Daily Food and Fitness Journal,Zeitgeist Wellness,4.5 out of 5 stars,https://www.amazon.in/Training-Healthy-Life-Fitness-Journal/dp/0593196597/ref=zg_bs_g_1318224031_d_sccl_7/000-0000000-0000000?psc=1
How to Build a Car: The Autobiography of the World’s Greatest Formula 1 Designer: The Autobiography of the World’s Greatest Formula 1 Designer,Adrian Newey,4.7 out of 5 stars,https://www.amazon.in/How-Build-Car-Autobiography-Greatest/dp/000819680X/ref=zg_bs_g_1318224031_d_sccl_8/000-0000000-0000000?psc=1
PLAYING IT MY WAY,Sachin Tendulkar,4.5 out of 5 stars,https://www.amazon.in/Playing-My-Way-Sachin-Tendulkar/dp/1473605172/ref=zg_bs_g_1318224031_d_sccl_9/000-0000000-0000000?psc=1
A Shot at History: My Obsessive Journey to Olympic Gold and Beyond,Abhinav Bindra,4.7 out of 5 stars,https://www.amazon.in/Shot-History-Obsessive-Journey-Olympic/dp/9352645758/ref=zg_bs_g_1318224031_d_sccl_10/000-0000000-0000000?psc=1
Breath: The New Science of a Lost Art,James Nestor,4.6 out of 5 stars,https://www.amazon.in/Breath-New-Science-Lost-Art/dp/B0874XVZKQ/ref=zg_bs_g_1318224031_d_sccl_11/000-0000000-0000000?psc=1
Power Play: A Grumpy Sunshine Marriage of Convenience Romance (D.C. Stars Book 2),Chelsea Curto,4.4 out of 5 stars,https://www.amazon.in/Camera-Shy-Sunshine-Romance-through-ebook/dp/B0CQ371ZTP/ref=zg_bs_g_1318224031_d_sccl_12/000-0000000-0000000?psc=1
BLACK BOX THINKING (REISSUE),Matthew Syed,4.6 out of 5 stars,https://www.amazon.in/Black-Box-Thinking-Matthew-Syed/dp/1473613809/ref=zg_bs_g_1318224031_d_sccl_13/000-0000000-0000000?psc=1
Yoga Publications Trust Yoga Nidra,Swami Satyanand Saraswati,4.6 out of 5 stars,https://www.amazon.in/Yoga-Nidra-Swami-Satyananda-Saraswati/dp/8185787123/ref=zg_bs_g_1318224031_d_sccl_14/000-0000000-0000000?psc=1
Scribner Relentless,Tim S. Grover,4.5 out of 5 stars,https://www.amazon.in/Relentless-Unstoppable-Tim-S-Grover/dp/1476714207/ref=zg_bs_g_1318224031_d_sccl_15/000-0000000-0000000?psc=1
Cristiano Ronaldo,Guillem Balague,4.5 out of 5 stars,https://www.amazon.in/Cristiano-Ronaldo-Definitive-Biography-Balagues/dp/1399619195/ref=zg_bs_g_1318224031_d_sccl_16/000-0000000-0000000?psc=1
Science of Strength Training,Austin Current,4.7 out of 5 stars,https://www.amazon.in/Science-Strength-Training-Understand-physiology/dp/0241389453/ref=zg_bs_g_1318224031_d_sccl_17/000-0000000-0000000?psc=1
What I Talk About When I Talk About Runn,Philip Gabriel,4.4 out of 5 stars,https://www.amazon.in/What-Talk-About-When-Running/dp/0099526158/ref=zg_bs_g_1318224031_d_sccl_18/000-0000000-0000000?psc=1
"BORN TO RUN: THE HIDDEN TRIBE, THE ULTRA-RUNNERS, AND THE GREATEST RACE THE WORLD HAS NEVER SEEN",Christopher McDougall,4.6 out of 5 stars,https://www.amazon.in/BORN-RUN-HIDDEN-ULTRA-RUNNERS-GREATEST/dp/1861978774/ref=zg_bs_g_1318224031_d_sccl_19/000-0000000-0000000?psc=1
Driven: The Virat Kohli Story(Revised and Updated World Cup Edition),Vijay Lokapally,4.6 out of 5 stars,https://www.amazon.in/Driven-Virat-Kohli-Revised-Updated/dp/9356407843/ref=zg_bs_g_1318224031_d_sccl_20/000-0000000-0000000?psc=1
The Inner Game of Tennis,W Timothy Gallwey,4.6 out of 5 stars,https://www.amazon.in/Inner-Game-Tennis-ultimate-performance/dp/1035047926/ref=zg_bs_g_1318224031_d_sccl_21/000-0000000-0000000?psc=1
Science of Breath,Rama Swami,4.4 out of 5 stars,https://www.amazon.in/Science-Breath-Practical-Rama-Swami/dp/0893891517/ref=zg_bs_g_1318224031_d_sccl_22/000-0000000-0000000?psc=1
No Limits: The Will to Succeed,Michael Phelps,4.5 out of 5 stars,https://www.amazon.in/No-Limits-Succeed-Michael-Phelps/dp/1439157669/ref=zg_bs_g_1318224031_d_sccl_23/000-0000000-0000000?psc=1
Becoming a Mountain: Himalayan Journeys in Search of the Sacred and the Sublime,Stephen Alter,4.3 out of 5 stars,https://www.amazon.in/Becoming-Mountain-Stephen-Alter-ebook/dp/B00SMDT4VI/ref=zg_bs_g_1318224031_d_sccl_24/000-0000000-0000000?psc=1
The Winner's Mindset,Shane Watson,4.3 out of 5 stars,https://www.amazon.in/Winners-Mindset-Shane-Watson/dp/935699790X/ref=zg_bs_g_1318224031_d_sccl_25/000-0000000-0000000?psc=1
Light on Pranayama,B.K.S. Iyengar,4.6 out of 5 stars,https://www.amazon.in/Light-Pranayama-B-K-S-Iyengar/dp/8172235410/ref=zg_bs_g_1318224031_d_sccl_26/000-0000000-0000000?psc=1
Breath: Improve your health and wellbeing by discovering the lost art of breathing,James Nestor,4.6 out of 5 stars,https://www.amazon.in/Breath-New-Science-Lost-Art-ebook/dp/B07Z49Z32V/ref=zg_bs_g_1318224031_d_sccl_27/000-0000000-0000000?psc=1
Jim Corbett : Man Eaters of Kumaon,Jim Corbett,4.6 out of 5 stars,https://www.amazon.in/Man-Eaters-Kumaon-Jim-Corbett/dp/9386316013/ref=zg_bs_g_1318224031_d_sccl_28/000-0000000-0000000?psc=1
Rules Of The Game: A College Hockey Romance (Rule Breaker Series Book 2),J. Wilder,4.2 out of 5 stars,https://www.amazon.in/Rules-Game-College-Romance-Breaker-ebook/dp/B0BVJ454TK/ref=zg_bs_g_1318224031_d_sccl_29/000-0000000-0000000?psc=1
"Cricket Quiz Book: Facts, Trivia and Anecdotes from the Game",Kalyan B. Bhattacharyya,4.3 out of 5 stars,https://www.amazon.in/Cricket-Quiz-Book-Trivia-Anecdotes/dp/8129151731/ref=zg_bs_g_1318224031_d_sccl_30/000-0000000-0000000?psc=1
The Muscle Ladder: Get Jacked Using Science,Jeff Nippard,NA,https://www.amazon.in/Muscle-Ladder-Jacked-Using-Science-ebook/dp/B0B5SVBGRG/ref=zg_bs_g_1318224031_d_sccl_1/000-0000000-0000000?psc=1
Sampoorn Yog Vidhya,Rajiv Jain Trilok,4.5 out of 5 stars,https://www.amazon.in/Sampoorn-Vidhya-Rajiv-Jain-Trilok/dp/8183221734/ref=zg_bs_g_1318224031_d_sccl_2/000-0000000-0000000?psc=1
Into Thin Air,Jon Krakauer,4.6 out of 5 stars,https://www.amazon.in/Into-Thin-Air-Personal-Disaster/dp/1447200187/ref=zg_bs_g_1318224031_d_sccl_3/000-0000000-0000000?psc=1
What I Talk About When I Talk About Running,Haruki Murakami,4.4 out of 5 stars,https://www.amazon.in/What-Talk-About-When-Running-ebook/dp/B005TKD8ZK/ref=zg_bs_g_1318224031_d_sccl_4/000-0000000-0000000?psc=1
The Mamba Mentality,Kobe Bryant,4.8 out of 5 stars,https://www.amazon.in/Mamba-Mentality-How-Play/dp/0374201234/ref=zg_bs_g_1318224031_d_sccl_5/000-0000000-0000000?psc=1
Messi (Updated B PB),Guillem Balague,4.6 out of 5 stars,https://www.amazon.in/Messi-Updated-B-PB/dp/1399619136/ref=zg_bs_g_1318224031_d_sccl_6/000-0000000-0000000?psc=1
"LOSE FAT, GET FITTR: THE SIMPLE SCIENCE OF STAYING HEALTHY FOR LIFE",Jitendra Chouksey,4.5 out of 5 stars,https://www.amazon.in/LOSE-FAT-GET-FITTR-SCIENCE-ebook/dp/B097JPNSRX/ref=zg_bs_g_1318224031_d_sccl_7/000-0000000-0000000?psc=1
The Barefoot Coach: Life-Changing Insights from Coaching the World's Best Cricketers,Paddy Upton,4.6 out of 5 stars,https://www.amazon.in/Barefoot-Coach-Life-Changing-Insights-Cricketers-ebook/dp/B0CD7DL17S/ref=zg_bs_g_1318224031_d_sccl_8/000-0000000-0000000?psc=1
The 12-Week Fitness Project (Updated for 2021 with 12 Extra Guidelines),Rujuta Diwekar,4.4 out of 5 stars,https://www.amazon.in/12-Week-Fitness-Project-Updated-Guidelines/dp/9353451418/ref=zg_bs_g_1318224031_d_sccl_9/000-0000000-0000000?psc=1
Ope: An Autobiography,Andre Agassi,4.6 out of 5 stars,https://www.amazon.in/Open-Autobiography-Andre-Agassi/dp/0007416792/ref=zg_bs_g_1318224031_d_sccl_10/000-0000000-0000000?psc=1
FEARLESS : A Memoir,Mohinder Amarnath,4.5 out of 5 stars,https://www.amazon.in/FEARLESS-Memoir-Mohinder-Amarnath/dp/9362130319/ref=zg_bs_g_1318224031_d_sccl_11/000-0000000-0000000?psc=1
Gully Gully: Travels Around India during the 2023 World Cup,Aditya Iyer,5.0 out of 5 stars,https://www.amazon.in/Gully-Travels-Around-India-during/dp/0143466461/ref=zg_bs_g_1318224031_d_sccl_12/000-0000000-0000000?psc=1
Surya Namaskar,Satyananda Saraswati,4.6 out of 5 stars,https://www.amazon.in/Surya-Namaskar-Satyananda-Saraswati/dp/8185787352/ref=zg_bs_g_1318224031_d_sccl_13/000-0000000-0000000?psc=1
The Dhoni Touch,Sundaresan Bharat,4.5 out of 5 stars,https://www.amazon.in/Dhoni-Touch-Unravelling-Enigma-Mahendra/dp/0143440063/ref=zg_bs_g_1318224031_d_sccl_14/000-0000000-0000000?psc=1
Inverting the Pyramid: The History of Football Tactics,Jonathan Wilson,4.5 out of 5 stars,https://www.amazon.in/Inverting-Pyramid-History-Football-Tactics/dp/1399610090/ref=zg_bs_g_1318224031_d_sccl_15/000-0000000-0000000?psc=1
Shoe Dog: Het verhaal van de oprichter van Nike,Phil Knight,4.4 out of 5 stars,https://www.amazon.in/Shoe-Dog-verhaal-oprichter-Nike/dp/B0DCZTL1NQ/ref=zg_bs_g_1318224031_d_sccl_16/000-0000000-0000000?psc=1
Dirty Score: A Coach's Daughter Hockey Romance (The Hawkeyes Hockey Series Book 5),Kenna King,4.4 out of 5 stars,https://www.amazon.in/Dirty-Score-Daughter-Romance-Hawkeyes-ebook/dp/B0CY7XVHJH/ref=zg_bs_g_1318224031_d_sccl_17/000-0000000-0000000?psc=1
The Book of Five Rings,Miyamoto Musashi,4.3 out of 5 stars,https://www.amazon.in/Book-Five-Rings-Hardcover-Library/dp/9389440556/ref=zg_bs_g_1318224031_d_sccl_18/000-0000000-0000000?psc=1
THE MAN EATING LEOPARD OF RUDRAPRAYAG,Jim Corbett,4.7 out of 5 stars,https://www.amazon.in/MAN-EATING-LEOPARD-RUDRAPRAYAG/dp/8129141841/ref=zg_bs_g_1318224031_d_sccl_19/000-0000000-0000000?psc=1
Wintering,Katherine May,4.4 out of 5 stars,https://www.amazon.in/Wintering-Power-Retreat-Difficult-Times/dp/1846045991/ref=zg_bs_g_1318224031_d_sccl_20/000-0000000-0000000?psc=1
