Book Name,Author,Rating,URL
"PW CBSE | Class 10 | 15 New Pattern Sample Paper Science, Maths (Std), English & Social Science Combo Set of 4 Books for 2025 Board Exam | 50% Competency Based Questions",PW (Physics Wallah),4.7 out of 5 stars,https://www.amazon.in/Pattern-Science-English-Competency-Questions/dp/934814104X/ref=zg_bs_g_64619754031_d_sccl_1/000-0000000-0000000?psc=1
Oswaal CBSE Sample Question Papers Class 10 Science Book (For 2025 Exam),Oswaal Editorial Board,4.3 out of 5 stars,https://www.amazon.in/Oswaal-Sample-Question-Papers-Science/dp/9362391465/ref=zg_bs_g_64619754031_d_sccl_2/000-0000000-0000000?psc=1
Oswaal CBSE Sample Question Papers Class 10 Mathematics Standard Book (For 2025 Exam),Oswaal Editorial Board,4.6 out of 5 stars,https://www.amazon.in/Oswaal-Sample-Question-Mathematics-Standard/dp/9362393441/ref=zg_bs_g_64619754031_d_sccl_3/000-0000000-0000000?psc=1
PW CBSE | Class 10 | 15 New Pattern Sample Question Papers Science For 2025 Board Exam with 50 Percent Competency Based Questions 100 Most Probable Questions,PW (Physics Wallah),4.0 out of 5 stars,https://www.amazon.in/Pattern-Question-Competency-Questions-Probable/dp/819747799X/ref=zg_bs_g_64619754031_d_sccl_4/000-0000000-0000000?psc=1
Oswaal CBSE Sample Question Papers Class 10 Social Science Book (For 2025 Exam),Oswaal Editorial Board,4.7 out of 5 stars,https://www.amazon.in/Oswaal-Sample-Question-Papers-Science/dp/936239054X/ref=zg_bs_g_64619754031_d_sccl_5/000-0000000-0000000?psc=1
Best of Children's Classics : Perfect Gift Set for Kids (Set of 5 Books),Antoine de Saint-Exupéry,4.4 out of 5 stars,https://www.amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_g_64619754031_d_sccl_6/000-0000000-0000000?psc=1
Lucent's General Knowledge 2024 || The Original Book with Hologram || 14th Edition || English Version,Dr. Binay Karna,4.4 out of 5 stars,https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540/ref=zg_bs_g_64619754031_d_sccl_7/000-0000000-0000000?psc=1
Oswaal CBSE Sample Question Papers Class 10 English Language & Literature Book (For 2025 Exam),Oswaal Editorial Board,4.4 out of 5 stars,https://www.amazon.in/Oswaal-Question-English-Language-Literature/dp/9362398540/ref=zg_bs_g_64619754031_d_sccl_8/000-0000000-0000000?psc=1
"Think And Grow Rich [Original Edition (Complete), Premium Paperback]",Napoleon Hill,4.4 out of 5 stars,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/9353338158/ref=zg_bs_g_64619754031_d_sccl_9/000-0000000-0000000?psc=1
"(IMPORTANT Qs, ALL TOPICS) Educart CBSE Class 10 SCIENCE One Shot Question Bank 2024-25 (for 2025 exam)",Prashant Kirad,4.4 out of 5 stars,https://www.amazon.in/Educart-SCIENCE-Question-2024-25-Exclusively/dp/936054972X/ref=zg_bs_g_64619754031_d_sccl_10/000-0000000-0000000?psc=1
