Book Name,Author,Rating,URL
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_g_15417300031_d_sccl_1/000-0000000-0000000?psc=1
Shrimad Bhagwat Geeta Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,https://www.amazon.in/Shrimad-Bhagwat-Geeta-Yatharoop-Hindi/dp/938598618X/ref=zg_bs_g_15417300031_d_sccl_2/000-0000000-0000000?psc=1
"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",Maple Press,4.5 out of 5 stars,https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_g_15417300031_d_sccl_3/000-0000000-0000000?psc=1
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,4.3 out of 5 stars,https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777/ref=zg_bs_g_15417300031_d_sccl_4/000-0000000-0000000?psc=1
"Story Books for Kids - Second Reader (Illustrated) (Set of 6 Books) - Phonic stories - Bedtime Stories - 3 Years to 6 Years Old - Read Aloud to Infants, Toddlers",Maple Press,4.4 out of 5 stars,https://www.amazon.in/Story-Books-Kids-Illustrated-Toddlers/dp/8119099397/ref=zg_bs_g_15417300031_d_sccl_5/000-0000000-0000000?psc=1
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Books for Kids - English Short Stories - Read Aloud to Infants, Toddlers",Maple Press,4.4 out of 5 stars,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_g_15417300031_d_sccl_6/000-0000000-0000000?psc=1
Days at the Morisaki Bookshop : The International Bestseller for lovers of Before the Coffee Gets Cold: A charming and uplifting story on the healing power of books,Satoshi Yagisawa,4.3 out of 5 stars,https://www.amazon.in/Days-Morisaki-Bookshop-International-Bestseller/dp/1786583232/ref=zg_bs_g_15417300031_d_sccl_7/000-0000000-0000000?psc=1
Nexus: FROM THE MULTI-MILLION COPY BESTSELLING AUTHOR OF SAPIENS,Yuval Noah Harari,4.5 out of 5 stars,https://www.amazon.in/Nexus-MULTI-MILLION-BESTSELLING-AUTHOR-SAPIENS/dp/191171709X/ref=zg_bs_g_15417300031_d_sccl_8/000-0000000-0000000?psc=1
Lucent's General Knowledge 2024 || The Original Book with Hologram || 14th Edition || English Version,Dr. Binay Karna,4.4 out of 5 stars,https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540/ref=zg_bs_g_15417300031_d_sccl_9/000-0000000-0000000?psc=1
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882/ref=zg_bs_g_15417300031_d_sccl_10/000-0000000-0000000?psc=1
Mandala Art: Colouring books for Adults with tear out sheets,Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Mandala-Art-Colouring-Adults-Sheets/dp/9386538601/ref=zg_bs_g_15417300031_d_sccl_11/000-0000000-0000000?psc=1
