Book Name,Author,Rating,URL
Days at the Morisaki Bookshop : The International Bestseller for lovers of Before the Coffee Gets Cold: A charming and uplifting story on the healing power of books,Satoshi Yagisawa,4.3 out of 5 stars,https://www.amazon.in/Days-Morisaki-Bookshop-International-Bestseller/dp/1786583232/ref=zg_bs_g_1318295031_d_sccl_1/000-0000000-0000000?psc=1
"Children's First Mythology Stories - Pack of 5 books (Ram, Shiva, Hanuman, Ganesha, Vishnu)",Wonder House Books,4.5 out of 5 stars,https://www.amazon.in/Childrens-First-Mythology-Stories-Hanuman/dp/9354404286/ref=zg_bs_g_1318295031_d_sccl_2/000-0000000-0000000?psc=1
Relaxing Mandala Coloring Book For Adults,Wonder House Books,4.4 out of 5 stars,https://www.amazon.in/Relaxing-Mandala-Coloring-Book-Adults/dp/9354404863/ref=zg_bs_g_1318295031_d_sccl_3/000-0000000-0000000?psc=1
Masala Lab,Ashok Krish,4.5 out of 5 stars,https://www.amazon.in/Masala-Lab-Science-Indian-Cooking/dp/0143451375/ref=zg_bs_g_1318295031_d_sccl_4/000-0000000-0000000?psc=1
Normal People,Sally Rooney,4.1 out of 5 stars,https://www.amazon.in/Normal-People-Sally-Rooney/dp/0571334652/ref=zg_bs_g_1318295031_d_sccl_5/000-0000000-0000000?psc=1
SATTVIK COOKING: MODERN AVATARS OF VEDIC FOODS,Hansaji J. Yogendra,4.4 out of 5 stars,https://www.amazon.in/SATTVIK-COOKING-MODERN-AVATARS-VEDIC-ebook/dp/B09D7BMNT7/ref=zg_bs_g_1318295031_d_sccl_6/000-0000000-0000000?psc=1
You are the Best Friend: A True story of falling in Love & finding inner Peace | An inspiring story by the author of You are the Best Wife,Ajay K Pandey,4.4 out of 5 stars,https://www.amazon.in/You-are-Best-Friend-Author/dp/9390441161/ref=zg_bs_g_1318295031_d_sccl_7/000-0000000-0000000?psc=1
Flowers Coloring Book for adults,Wonder House Books,4.4 out of 5 stars,https://www.amazon.in/Flowers-Coloring-adults-Wonder-House/dp/9354404545/ref=zg_bs_g_1318295031_d_sccl_8/000-0000000-0000000?psc=1
Zen: The Art of Simple Living,Shunmyo Masuno,4.6 out of 5 stars,https://www.amazon.in/Zen-Simple-Living-Shunmyo-Masuno/dp/024137183X/ref=zg_bs_g_1318295031_d_sccl_9/000-0000000-0000000?psc=1
"India & World Map ( Both Political & Physical ) with Constitution of India Chart, History of India Chart & Geography Terms Chart | Set Of 7 | Useful for UPSC and other exams | By VCP",Vidya Chitr Prakashan,4.4 out of 5 stars,https://www.amazon.in/Political-Physical-Constitution-History-Geography/dp/B09G6B297L/ref=zg_bs_g_1318295031_d_sccl_10/000-0000000-0000000?psc=1
